Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1650176 "," 1775205 "," 1667270 "
1.01," Ativo Circulante "," 13799 "," 30374 "," 34844 "
1.01.01," Caixa e Equivalentes de Caixa "," 274 "," 397 "," 1289 "
1.01.02," Aplicações Financeiras "," 0 "," 7231 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 7231 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras "," 0 "," 7231 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 1294 "," 4060 "," 2940 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 8723 "," 8253 "," 9670 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 0 "," 2212 "," 2373 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 1536 "," 1778 "," 1574 "
1.01.08," Outros Ativos Circulantes "," 1972 "," 6443 "," 16998 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 1972 "," 6443 "," 16998 "
1.01.08.03.01," Conta corrente com partes relacionadas "," 0 "," 0 "," 12378 "
1.01.08.03.02," Outras contas a receber com partes relacionadas "," "," "," "
1.01.08.03.03," Adiantamentos a fornecedores "," 1972 "," 6443 "," 4620 "
1.02," Ativo Não Circulante "," 1636377 "," 1744831 "," 1632426 "
1.02.01," Ativo Realizável a Longo Prazo "," 89980 "," 169442 "," 153318 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 83540 "," 83466 "," 61776 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.09.05," Outras contas a receber com partes relacionadas "," 83540 "," 83466 "," 61776 "
1.02.01.10," Outros Ativos Não Circulantes "," 6440 "," 85976 "," 91542 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros investimentos "," "," "," "
1.02.01.10.04," Impostos a recuperar "," 5591 "," 7279 "," 6689 "
1.02.01.10.05," Depósitos judiciais "," 675 "," 1736 "," 1394 "
1.02.01.10.06," Outros créditos a receber "," 174 "," 76961 "," 83459 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 892967 "," 948131 "," 973786 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 653430 "," 627258 "," 505322 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
