Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 4528962 "," 3715984 "," 3178916 "
1.01," Ativo Circulante "," 3340588 "," 2724356 "," 2255032 "
1.01.01," Caixa e Equivalentes de Caixa "," 733966 "," 382314 "," 292268 "
1.01.02," Aplicações Financeiras "," 0 "," 0 "," 2000 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 0 "," 2000 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos e valores mobiliários "," 0 "," 0 "," 2000 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 1412059 "," 1401512 "," 1238376 "
1.01.03.01," Clientes "," 1412059 "," 1401512 "," 1238376 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 852762 "," 615258 "," 421842 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 199587 "," 239590 "," 238956 "
1.01.06.01," Tributos Correntes a Recuperar "," 199587 "," 239590 "," 238956 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 142214 "," 85682 "," 61590 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 142214 "," 85682 "," 61590 "
1.01.08.03.02," Partes relacionadas "," 422 "," 3212 "," 2597 "
1.01.08.03.03," Outros ativos "," 141792 "," 82470 "," 58993 "
1.02," Ativo Não Circulante "," 1188374 "," 991628 "," 923884 "
1.02.01," Ativo Realizável a Longo Prazo "," 280234 "," 86026 "," 39912 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 23999 "," 40279 "," 39912 "
1.02.01.04.01," Clientes "," 23999 "," 40279 "," 39912 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 34065 "," 26707 "," 0 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 222170 "," 19040 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros ativos "," 16829 "," 19040 "," 0 "
1.02.01.10.04," Tributos a recuperar "," 143018 "," 0 "," 0 "
1.02.01.10.05," Depósito judicial "," 62323 "," 0 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 167224 "," 151473 "," 135601 "
1.02.03.01," Imobilizado em Operação "," 33627 "," 33828 "," 24047 "
1.02.03.02," Direito de Uso em Arrendamento "," 133597 "," 117645 "," 111554 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 740916 "," 754129 "," 748371 "
1.02.04.01," Intangíveis "," 740916 "," 754129 "," 748371 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 740916 "," 754129 "," 748371 "
1.02.04.02," Goodwill "," "," "," "
