Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1629116 "," 1015470 "," 290529 "
1.01," Ativo Circulante "," 742348 "," 188366 "," 106132 "
1.01.01," Caixa e Equivalentes de Caixa "," 580182 "," 86135 "," 38018 "
1.01.01.01," Caixa e Bancos "," 11925 "," 6136 "," 13098 "
1.01.01.02," Aplicações Financeiras "," 568257 "," 79999 "," 24920 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 131384 "," 78457 "," 53187 "
1.01.03.01," Clientes "," 129515 "," 77406 "," 53184 "
1.01.03.02," Outras Contas a Receber "," 1869 "," 1051 "," 3 "
1.01.03.02.01," Outros créditos "," 1869 "," 1051 "," 3 "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 23031 "," 12056 "," 8441 "
1.01.06.01," Tributos Correntes a Recuperar "," 23031 "," 12056 "," 8441 "
1.01.06.01.01," Tributos a recuperar "," 23031 "," 12056 "," 8441 "
1.01.07," Despesas Antecipadas "," 6542 "," 11718 "," 6486 "
1.01.07.01," Adiantamentos "," 3505 "," 6311 "," 1823 "
1.01.07.02," Despesas antecipadas "," 3037 "," 5407 "," 4663 "
1.01.08," Outros Ativos Circulantes "," 1209 "," 0 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 1209 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 886768 "," 827104 "," 184397 "
1.02.01," Ativo Realizável a Longo Prazo "," 108973 "," 68810 "," 19177 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 32129 "," 30816 "," 0 "
1.02.01.03.01," Aplicações financeiras - restritas "," 32129 "," 30816 "," 0 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 62800 "," 24958 "," 2375 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 62800 "," 24958 "," 2375 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 14044 "," 13036 "," 16802 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 3374 "," 2779 "," 1194 "
1.02.01.10.04," Outros créditos "," 14 "," 116 "," 102 "
1.02.01.10.05," Adiantamentos "," 10142 "," 10141 "," 12000 "
1.02.01.10.06," Despesas antecipadas "," 514 "," 0 "," 3506 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 179645 "," 133662 "," 64050 "
1.02.03.01," Imobilizado em Operação "," 175348 "," 128421 "," 59162 "
1.02.03.01.01," Imobilizado "," 175348 "," 128421 "," 59162 "
1.02.03.02," Direito de Uso em Arrendamento "," 4297 "," 5241 "," 4888 "
1.02.03.02.01," Direito de Uso "," 4297 "," 5241 "," 4888 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 598150 "," 624632 "," 101170 "
1.02.04.01," Intangíveis "," 598150 "," 624632 "," 101170 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 598150 "," 624632 "," 101170 "
1.02.04.02," Goodwill "," "," "," "
