Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 26991134 "," 19622406 "," 0 "
1.01," Ativo Circulante "," 12797847 "," 6597075 "," 0 "
1.01.01," Caixa e Equivalentes de Caixa "," 10716802 "," 2972521 "," 0 "
1.01.02," Aplicações Financeiras "," 217023 "," 1425 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 217023 "," 1425 "," 0 "
1.01.03," Contas a Receber "," 749766 "," 2825734 "," 0 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 855205 "," 512440 "," 0 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," 105989 "," 66120 "," 0 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 153062 "," 284955 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 153062 "," 218835 "," 0 "
1.01.08.03.01," Adiantamentos a fornecedores "," "," "," "
1.01.08.03.02," Impostos a recuperar "," "," "," "
1.01.08.03.03," Outros ativos "," 153062 "," 218835 "," 0 "
1.02," Ativo Não Circulante "," 14193287 "," 13025331 "," 0 "
1.02.01," Ativo Realizável a Longo Prazo "," 966843 "," 711231 "," 0 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 656193 "," 347304 "," 0 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 310650 "," 363927 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Adiantamentos a fornecedores "," "," "," "
1.02.01.10.04," Impostos a recuperar "," 117230 "," 77429 "," 0 "
1.02.01.10.05," Outros ativos "," 193420 "," 286498 "," 0 "
1.02.02," Investimentos "," 1313186 "," 1225372 "," 0 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 7692003 "," 6852757 "," 0 "
1.02.03.01," Imobilizado em Operação "," 5693429 "," 4913217 "," 0 "
1.02.03.02," Direito de Uso em Arrendamento "," 125672 "," 82717 "," 0 "
1.02.03.03," Imobilizado em Andamento "," 1872902 "," 1856823 "," 0 "
1.02.04," Intangível "," 4221255 "," 4235971 "," 0 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
