Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 19342339 "," 18002365 "," 18473499 "
1.01," Ativo Circulante "," 2007817 "," 1890173 "," 2939067 "
1.01.01," Caixa e Equivalentes de Caixa "," 449152 "," 167446 "," 1133627 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Dividendos "," "," "," "
1.01.02.01.04," Ativo financeiro vinculado à concessão "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 325541 "," 397629 "," 289448 "
1.01.03.01," Clientes "," 325541 "," 397629 "," 289448 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 4633 "," 4618 "," 1016 "
1.01.06.01," Tributos Correntes a Recuperar "," 4633 "," 4618 "," 1016 "
1.01.07," Despesas Antecipadas "," 4501 "," 6099 "," 6193 "
1.01.08," Outros Ativos Circulantes "," 1223990 "," 1314381 "," 1508783 "
1.01.08.01," Ativos Não-Correntes a Venda "," 1213810 "," 1304597 "," 1507649 "
1.01.08.01.01," Ativo financeiro vinculado à concessão "," 1119444 "," 1286701 "," 1500699 "
1.01.08.01.02," Serviços em curso "," 33829 "," 17896 "," 6950 "
1.01.08.01.03," Partes relacionadas "," 60537 "," 0 "," 0 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 10180 "," 9784 "," 1134 "
1.01.08.03.01," Outros "," 10180 "," 9784 "," 1134 "
1.01.08.03.02," Serviços em curso "," "," "," "
1.02," Ativo Não Circulante "," 17334522 "," 16112192 "," 15534432 "
1.02.01," Ativo Realizável a Longo Prazo "," 10785083 "," 9769113 "," 9125388 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.02.03," Ativo financeiro vinculado à concessão "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 134 "," 0 "," 124 "
1.02.01.04.01," Clientes "," 134 "," 0 "," 124 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," 99 "," 781 "," 649 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 10784850 "," 9768332 "," 9124615 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outorga "," 10290980 "," 9290512 "," 8658545 "
1.02.01.10.04," Depósitos judiciais "," 493870 "," 477820 "," 466070 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 37315 "," 11108 "," 10373 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 6512124 "," 6331971 "," 6398671 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
