Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6942867 "," 4405751 "," 3069698 "
1.01," Caixa e Equivalentes de Caixa "," 2186546 "," 2057592 "," 502473 "
1.02," Ativos Financeiros "," 3834808 "," 1768530 "," 1927165 "
1.02.01," Ativos Financeiros Avaliados a Valor Justo através do Resultado "," 1476866 "," 422969 "," 524965 "
1.02.01.01," Títulos para Negociação "," "," "," "
1.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.02.01.03," Títulos e valores Mobiliários "," 1295241 "," 335712 "," 506395 "
1.02.01.04," Derivativos "," 181625 "," 87257 "," 18570 "
1.02.02," Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes "," 862593 "," 892544 "," 956791 "
1.02.02.01," Títulos e valores Mobiliários "," 862593 "," 892544 "," 956791 "
1.02.03," Ativos Financeiros Avaliados ao Custo Amortizado "," 1495349 "," 453017 "," 445409 "
1.02.03.01," Títulos e valores Mobiliários "," 53181 "," 0 "," 130287 "
1.02.03.02," Outros Ativos Financeiros "," 396376 "," 318224 "," 224005 "
1.02.03.03," Depósitos Compulsórios no Banco Central do Brasil "," 17083 "," 14978 "," 3433 "
1.02.03.04," Operações de crédito "," 1032917 "," 127821 "," 91925 "
1.02.03.05," (-) Provisão para Perda Esperada "," -4208 "," -8006 "," -4241 "
1.03," Tributos Diferidos "," 144711 "," 112161 "," 116306 "
1.03.01," Imposto de Renda e Contribuição Social Diferidos "," 94590 "," 75235 "," 85597 "
1.03.02," Imposto de renda recuperável "," 50121 "," 36926 "," 30709 "
1.04," Outros Ativos "," 459241 "," 350053 "," 430174 "
1.04.01," Ativos Não Correntes a Venda "," 278331 "," 332828 "," 419449 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 180910 "," 17225 "," 10725 "
1.05," Investimentos "," 1036 "," 2117 "," 2764 "
1.05.01," Participações em Coligadas "," 1036 "," 2117 "," 2764 "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 48897 "," 33879 "," 43654 "
1.06.01," Imobilizado de Uso "," 38335 "," 21755 "," 26742 "
1.06.02," Direito de Uso em Arrendamento "," 10562 "," 12124 "," 16912 "
1.07," Intangível "," 267628 "," 81419 "," 47162 "
1.07.01," Intangíveis "," "," "," "
1.07.02," Goodwill "," 267628 "," 81419 "," 47162 "
