Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6226727 "," 5110149 "," 5833010 "
1.01," Ativo Circulante "," 2910324 "," 2630036 "," 2879745 "
1.01.01," Caixa e Equivalentes de Caixa "," 248014 "," 325038 "," 182444 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 234650 "," 182388 "," 423079 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 464421 "," 246724 "," 784561 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 62241 "," 61486 "," 57383 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 1900998 "," 1814400 "," 1432278 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 1900998 "," 1814400 "," 1432278 "
1.01.08.03.01," Aplicações financeiras, interfinanceiras e títulos e valores mobiliários "," 806749 "," 864672 "," 363604 "
1.01.08.03.02," Instrumentos financeiros e derivativos "," 16526 "," 57333 "," 3126 "
1.01.08.03.03," Títulos e créditos a receber "," 16699 "," 15415 "," 13036 "
1.01.08.03.04," Operações de créditos "," 740076 "," 454820 "," 373210 "
1.01.08.03.05," Contas correntes com fabricantes "," 48666 "," 63634 "," 47958 "
1.01.08.03.06," Cotas de consóricio adquiridas "," 47660 "," 32124 "," 37425 "
1.01.08.03.07," Outros ativos "," 224622 "," 326402 "," 315961 "
1.01.08.03.08," Partes relacionadas "," 0 "," 0 "," 1577 "
1.01.08.03.09," Ativos não circulantes mantidos para venda "," 0 "," 0 "," 276381 "
1.02," Ativo Não Circulante "," 3316403 "," 2480113 "," 2953265 "
1.02.01," Ativo Realizável a Longo Prazo "," 2832891 "," 1902710 "," 2049024 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 0 "," 0 "," 376353 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 0 "," 0 "," 314548 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 143070 "," 143833 "," 102996 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 167 "," 6010 "," 2514 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2689654 "," 1752867 "," 1252613 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Aplicações financeiras, interfinanceiras e títulos e valores mobiliários "," 457747 "," 475333 "," 106715 "
1.02.01.10.04," Instrumentos financeiros derivativos "," 4445 "," 0 "," 12170 "
1.02.01.10.05," Títulos e créditos a receber "," 66252 "," 66652 "," 72969 "
1.02.01.10.06," Operações de crédito "," 1436036 "," 685377 "," 458726 "
1.02.01.10.07," Contas correntes com fabricantes "," 194627 "," 80491 "," 82279 "
1.02.01.10.08," Tributos a recuperar "," 31251 "," 26688 "," 26370 "
1.02.01.10.09," Cotas de consórcio adquiridas "," 94937 "," 94350 "," 68322 "
1.02.01.10.10," Outros ativos "," 286959 "," 214332 "," 303126 "
1.02.01.10.11," Créditos com grupos de consórcio "," 44452 "," 37873 "," 30314 "
1.02.01.10.12," Depósitos judiciais "," 72948 "," 71771 "," 91622 "
1.02.02," Investimentos "," 35211 "," 53214 "," 169357 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.02.02.01," Sociedades coligadas e controladas em conjunto "," "," "," "
1.02.02.02.02," Propriedades em investimento "," "," "," "
1.02.02.02.03," Outros investimentos "," "," "," "
1.02.03," Imobilizado "," 366365 "," 449117 "," 647399 "
1.02.03.01," Imobilizado em Operação "," 69973 "," 66610 "," 205012 "
1.02.03.02," Direito de Uso em Arrendamento "," 80805 "," 90343 "," 84004 "
1.02.03.03," Imobilizado em Andamento "," 215587 "," 292164 "," 358383 "
1.02.03.03.01," Imobilizado de arrendamento "," 215587 "," 292164 "," 358383 "
1.02.04," Intangível "," 81936 "," 75072 "," 87485 "
1.02.04.01," Intangíveis "," "," "," "
