Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2190 "," 1000 "," 0 "
1.01," Ativo Circulante "," 1290 "," 1000 "," 0 "
1.01.01," Disponibilidades "," 1179 "," 1000 "," 0 "
1.01.02," Aplicações Interfinanceiras de Liquidez "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Títulos e Valores Mobiliários "," "," "," "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Relações Interfinanceiras "," "," "," "
1.01.05," Relações Interdependências "," "," "," "
1.01.06," Operações de Crédito "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Operações de Arrendamento Mercantil "," "," "," "
1.01.08," Outros Créditos "," 111 "," 0 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.01.09," Outros Valores e Bens "," "," "," "
1.02," Ativo Realizável a Longo Prazo "," "," "," "
1.02.01," Aplicações Interfinanceiras de Liquidez "," "," "," "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," "," "," "
1.02.02," Títulos e Valores Mobiliários "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Relações Interfinanceiras "," "," "," "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Relações Interdependências "," "," "," "
1.02.04.01," Intangíveis "," "," "," "
1.02.05," Operações de Crédito "," "," "," "
1.02.06," Operações de Arrendamento Mercantil "," "," "," "
1.02.07," Outros Créditos "," "," "," "
1.02.08," Outros Valores e Bens "," "," "," "
1.03," Ativo Permanente "," 900 "," 0 "," 0 "
1.03.01," Investimentos "," 900 "," 0 "," 0 "
1.03.01.01," Dependências no Exterior "," "," "," "
1.03.01.02," Participações em Controladas "," "," "," "
1.03.01.03," Participações em Coligadas e Equiparadas "," "," "," "
1.03.01.04," Outros Investimentos "," "," "," "
1.03.01.05," Provisão para Perdas "," "," "," "
1.03.02," Imobilizado de Uso "," "," "," "
1.03.03," Imobilizado de Arrendamento "," "," "," "
1.03.04," Intangível "," "," "," "
1.03.05," Diferido "," "," "," "
