Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 4816696 "," 3889785 "," 3928438 "
1.01," Ativo Circulante "," 1237482 "," 1000710 "," 841185 "
1.01.01," Caixa e Equivalentes de Caixa "," 459813 "," 425096 "," 379881 "
1.01.02," Aplicações Financeiras "," 0 "," 0 "," 1000 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 0 "," 1000 "
1.01.02.01.01," Títulos para Negociação "," 0 "," 0 "," 1000 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 323602 "," 156420 "," 43631 "
1.01.03.01," Clientes "," 172848 "," 156420 "," 43631 "
1.01.03.02," Outras Contas a Receber "," 150754 "," 0 "," 0 "
1.01.03.02.01," Partes relacionadas "," 150754 "," 0 "," 0 "
1.01.04," Estoques "," 355935 "," 341249 "," 301545 "
1.01.04.01," Estoques "," 355935 "," 341249 "," 301545 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 69952 "," 40265 "," 75152 "
1.01.06.01," Tributos Correntes a Recuperar "," 69952 "," 40265 "," 75152 "
1.01.06.01.01," Tributos Correntes a recuperar "," 69952 "," 40265 "," 75152 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 28180 "," 37680 "," 39976 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 28180 "," 37680 "," 39976 "
1.02," Ativo Não Circulante "," 3579214 "," 2889075 "," 3087253 "
1.02.01," Ativo Realizável a Longo Prazo "," 971759 "," 207861 "," 396959 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 6156 "," 6298 "," 5753 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 6156 "," 6298 "," 5753 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 2076 "," 3635 "," 1877 "
1.02.01.04.01," Clientes "," 2076 "," 3635 "," 1877 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 28989 "," 0 "," 86876 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 766013 "," 48970 "," 137238 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 640564 "," 0 "," 0 "
1.02.01.07.02," Impostos a Recuperar "," 125449 "," 48970 "," 137238 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 32664 "," 25200 "," 26200 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.09.05," Partes Relacionadas "," 32664 "," 25200 "," 26200 "
1.02.01.10," Outros Ativos Não Circulantes "," 135861 "," 123758 "," 139015 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 69703 "," 67623 "," 70968 "
1.02.01.10.04," Instrumentos Financeiros Derivativos "," 7272 "," 24705 "," 16612 "
1.02.01.10.05," Outros Ativos "," 58886 "," 31430 "," 51435 "
1.02.02," Investimentos "," 82 "," 2569 "," 4790 "
1.02.02.01," Participações Societárias "," 82 "," 8 "," 8 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 82 "," 8 "," 8 "
1.02.02.02," Propriedades para Investimento "," 0 "," 2561 "," 4782 "
1.02.03," Imobilizado "," 2131764 "," 2234777 "," 2189864 "
1.02.03.01," Imobilizado em Operação "," 1994860 "," 2010050 "," 1943824 "
1.02.03.02," Direito de Uso em Arrendamento "," 136904 "," 224727 "," 246040 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 475609 "," 443868 "," 495640 "
1.02.04.01," Intangíveis "," 475609 "," 443868 "," 495640 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Ágio "," 301312 "," 301312 "," 301312 "
1.02.04.01.03," Outros Intangíveis "," 174297 "," 142556 "," 194328 "
1.02.04.02," Goodwill "," "," "," "
