Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2892361 "," 1018250 "," 463591 "
1.01," Ativo Circulante "," 1216939 "," 286999 "," 116362 "
1.01.01," Caixa e Equivalentes de Caixa "," 1000792 "," 171104 "," 38810 "
1.01.02," Aplicações Financeiras "," 46693 "," 9665 "," 4669 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 46693 "," 9665 "," 4669 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 107873 "," 69555 "," 59285 "
1.01.03.01," Clientes "," 107873 "," 69555 "," 59285 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 3713 "," 525 "," 771 "
1.01.04.01," Estoques material de consumo "," 3713 "," 525 "," 771 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 42807 "," 18424 "," 8154 "
1.01.06.01," Tributos Correntes a Recuperar "," 42807 "," 18424 "," 8154 "
1.01.07," Despesas Antecipadas "," 1851 "," 1398 "," 153 "
1.01.08," Outros Ativos Circulantes "," 13210 "," 16328 "," 4520 "
1.01.08.01," Ativos Não-Correntes a Venda "," 297 "," 3701 "," 0 "
1.01.08.01.01," Operações com derivativos "," 297 "," 3701 "," 0 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 12913 "," 12627 "," 4520 "
1.02," Ativo Não Circulante "," 1675422 "," 731251 "," 347229 "
1.02.01," Ativo Realizável a Longo Prazo "," 74507 "," 42881 "," 17605 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 3600 "," 6480 "," 38 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 3600 "," 6480 "," 38 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 843 "," 0 "," 0 "
1.02.01.04.01," Clientes "," 843 "," 0 "," 0 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 63230 "," 25310 "," 15625 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 8559 "," 2144 "," 2333 "
1.02.01.07.02," Icms s/ ativo imobilizado "," 54671 "," 23166 "," 13292 "
1.02.01.08," Despesas Antecipadas "," 2462 "," 778 "," 0 "
1.02.01.09," Créditos com Partes Relacionadas "," 1181 "," 1153 "," 1200 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 1181 "," 1153 "," 1200 "
1.02.01.10," Outros Ativos Não Circulantes "," 3191 "," 9160 "," 742 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 2142 "," 905 "," 742 "
1.02.01.10.04," Operações com derivativos "," 1011 "," 8217 "," 0 "
1.02.01.10.05," Outros ativos "," 38 "," 38 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1382204 "," 681649 "," 326649 "
1.02.03.01," Imobilizado em Operação "," 1035646 "," 556817 "," 247621 "
1.02.03.02," Direito de Uso em Arrendamento "," 35928 "," 34117 "," 9901 "
1.02.03.02.01," Ativos de direito de uso "," 35928 "," 34117 "," 9901 "
1.02.03.03," Imobilizado em Andamento "," 310630 "," 90715 "," 69127 "
1.02.04," Intangível "," 218711 "," 6721 "," 2975 "
1.02.04.01," Intangíveis "," 218711 "," 6721 "," 2975 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
