Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3160497 "," 42959 "," 1649 "
1.01," Ativo Circulante "," 790994 "," 4870 "," 912 "
1.01.01," Caixa e Equivalentes de Caixa "," 397636 "," 368 "," 0 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 303454 "," 3168 "," 300 "
1.01.03.01," Clientes "," 303454 "," 3168 "," 300 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 31099 "," 917 "," 318 "
1.01.06.01," Tributos Correntes a Recuperar "," 31099 "," 917 "," 318 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 58805 "," 417 "," 294 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 58805 "," 417 "," 294 "
1.02," Ativo Não Circulante "," 2369503 "," 38089 "," 737 "
1.02.01," Ativo Realizável a Longo Prazo "," 66885 "," 505 "," 464 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 14755 "," 0 "," 0 "
1.02.01.04.01," Clientes "," 9129 "," 0 "," 0 "
1.02.01.04.02," Outras Contas a Receber "," 5626 "," 0 "," 0 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 23889 "," 457 "," 454 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 23889 "," 457 "," 454 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 16845 "," 41 "," 10 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 16845 "," 41 "," 10 "
1.02.01.10," Outros Ativos Não Circulantes "," 11396 "," 7 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 2010 "," 4 "," 0 "
1.02.01.10.04," Tributos Não-Correntes a Recuperar "," 9386 "," 3 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 975433 "," 666 "," 264 "
1.02.03.01," Imobilizado em Operação "," 871849 "," 666 "," 264 "
1.02.03.02," Direito de Uso em Arrendamento "," 43730 "," 0 "," 0 "
1.02.03.03," Imobilizado em Andamento "," 59854 "," 0 "," 0 "
1.02.04," Intangível "," 1327185 "," 36918 "," 9 "
1.02.04.01," Intangíveis "," 306742 "," 5 "," 9 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Outros "," 306742 "," 5 "," 9 "
1.02.04.02," Goodwill "," 1020443 "," 36913 "," 0 "
