Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 258898 "," 231344 "," 0 "
1.01," Ativo Circulante "," 126502 "," 99014 "," 0 "
1.01.01," Caixa e Equivalentes de Caixa "," 1950 "," 1428 "," 0 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 57644 "," 47716 "," 0 "
1.01.03.01," Clientes "," 54522 "," 43408 "," 0 "
1.01.03.02," Outras Contas a Receber "," 3122 "," 4308 "," 0 "
1.01.04," Estoques "," 53749 "," 27976 "," 0 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 9277 "," 16417 "," 0 "
1.01.06.01," Tributos Correntes a Recuperar "," 9277 "," 16417 "," 0 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 3882 "," 5477 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 3882 "," 5477 "," 0 "
1.01.08.03.01," Adiantamentos a Fornecedores "," 3687 "," 4575 "," 0 "
1.01.08.03.02," Outros Créditos a Receber "," 195 "," 902 "," 0 "
1.02," Ativo Não Circulante "," 132396 "," 132330 "," 0 "
1.02.01," Ativo Realizável a Longo Prazo "," 11456 "," 28896 "," 0 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 873 "," 2274 "," 0 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 873 "," 2274 "," 0 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 532 "," 420 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 532 "," 420 "," 0 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 6956 "," 13925 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 6956 "," 13925 "," 0 "
1.02.01.10," Outros Ativos Não Circulantes "," 3095 "," 12277 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 0 "," 9278 "," 0 "
1.02.01.10.04," Depósitos Judiciais "," 983 "," 998 "," 0 "
1.02.01.10.05," Outros Créditos a Receber "," 2112 "," 2001 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 80110 "," 76600 "," 0 "
1.02.03.01," Imobilizado em Operação "," 13161 "," 12994 "," 0 "
1.02.03.02," Direito de Uso em Arrendamento "," 66949 "," 63606 "," 0 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 40830 "," 26834 "," 0 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
