Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6128802 "," 6384357 "," 6328378 "
1.01," Ativo Circulante "," 1754215 "," 1827195 "," 1711031 "
1.01.01," Caixa e Equivalentes de Caixa "," 464754 "," 561169 "," 408790 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 71144 "," 136242 "," 74758 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 930055 "," 871386 "," 900687 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 218006 "," 200042 "," 240098 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 0 "," 1274 "," 2686 "
1.01.07.01," Adiantamento a fornecedores "," 0 "," 1274 "," 2686 "
1.01.08," Outros Ativos Circulantes "," 70256 "," 57082 "," 84012 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 70256 "," 57082 "," 84012 "
1.01.08.03.01," Outros ativos "," 70256 "," 57082 "," 84012 "
1.02," Ativo Não Circulante "," 4374587 "," 4557162 "," 4617347 "
1.02.01," Ativo Realizável a Longo Prazo "," 1221716 "," 1226593 "," 1148646 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 595863 "," 633483 "," 701910 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 595863 "," 633483 "," 701910 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 625853 "," 593110 "," 446736 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 58240 "," 51771 "," 54028 "
1.02.01.10.04," Ativo de Indenização "," 49059 "," 36021 "," 38942 "
1.02.01.10.05," Tributos a recuperar "," 518554 "," 505318 "," 353766 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1623143 "," 1791760 "," 1914610 "
1.02.03.01," Imobilizado em Operação "," 756865 "," 1075262 "," 1275556 "
1.02.03.02," Direito de Uso em Arrendamento "," 866278 "," 716498 "," 639054 "
1.02.03.02.01," Ativos de Direito de uso "," 866278 "," 716498 "," 639054 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1529728 "," 1538809 "," 1554091 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
