Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 265818 "," 192481 "," 149742 "
1.01," Ativo Circulante "," 157480 "," 103448 "," 77711 "
1.01.01," Caixa e Equivalentes de Caixa "," 9720 "," 11300 "," 2866 "
1.01.02," Aplicações Financeiras "," 3571 "," 10840 "," 5413 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 3571 "," 10840 "," 5413 "
1.01.02.01.01," Títulos para Negociação "," 3571 "," 10840 "," 5413 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 133359 "," 74592 "," 65131 "
1.01.03.01," Clientes "," 133359 "," 74592 "," 65131 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 2106 "," 858 "," 400 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 5618 "," 2878 "," 1388 "
1.01.06.01," Tributos Correntes a Recuperar "," 5618 "," 2878 "," 1388 "
1.01.07," Despesas Antecipadas "," 901 "," 2785 "," 1764 "
1.01.08," Outros Ativos Circulantes "," 2205 "," 195 "," 749 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 108338 "," 89033 "," 72031 "
1.02.01," Ativo Realizável a Longo Prazo "," 42383 "," 35958 "," 18534 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 38230 "," 31893 "," 15407 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 38230 "," 31893 "," 15407 "
1.02.01.08," Despesas Antecipadas "," 3718 "," 3592 "," 2944 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 435 "," 473 "," 183 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros Ativos Não Circulantes "," 435 "," 473 "," 183 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 18771 "," 15635 "," 15863 "
1.02.03.01," Imobilizado em Operação "," 13846 "," 12547 "," 11803 "
1.02.03.02," Direito de Uso em Arrendamento "," 4925 "," 3088 "," 4060 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 47184 "," 37440 "," 37634 "
1.02.04.01," Intangíveis "," 47184 "," 37440 "," 37634 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 47184 "," 37440 "," 37634 "
1.02.04.02," Goodwill "," "," "," "
