Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3092672 "," 0 "," 0 "
1.01," Ativo Circulante "," 439738 "," 0 "," 0 "
1.01.01," Caixa e Equivalentes de Caixa "," 403630 "," 0 "," 0 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 403630 "," 0 "," 0 "
1.01.02," Aplicações Financeiras "," 28383 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 28383 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicação Financeira - conta reserva "," "," "," "
1.01.02.01.04," Aplicação Financeira "," 28383 "," 0 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," "," "," "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 2686 "," 0 "," 0 "
1.01.06.01," Tributos Correntes a Recuperar "," 2686 "," 0 "," 0 "
1.01.07," Despesas Antecipadas "," 1361 "," 0 "," 0 "
1.01.07.01," Despesas Antecipadas "," 1361 "," 0 "," 0 "
1.01.08," Outros Ativos Circulantes "," 3678 "," 0 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 3678 "," 0 "," 0 "
1.01.08.03.01," Outros créditos "," 3605 "," 0 "," 0 "
1.01.08.03.02," Partes relacionadas "," 73 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 2652934 "," 0 "," 0 "
1.02.01," Ativo Realizável a Longo Prazo "," 1072617 "," 0 "," 0 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1072617 "," 0 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," "," "," "
1.02.01.10.04," Outros créditos "," "," "," "
1.02.01.10.05," Aplicações Financeiras - Conta Reserva "," "," "," "
1.02.01.10.06," Tributos a Recuperar "," "," "," "
1.02.01.10.07," Outros créditos - Venda participação "," "," "," "
1.02.01.10.08," Ativo sujeito à indenização "," "," "," "
1.02.01.10.09," Outros créditos - Conta reserva - Ecovias do Araguaia "," 1072617 "," 0 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 2086 "," 0 "," 0 "
1.02.03.01," Imobilizado em Operação "," 2086 "," 0 "," 0 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1578231 "," 0 "," 0 "
1.02.04.01," Intangíveis "," 1578231 "," 0 "," 0 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
