Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 695116 "," 646999 "," 292058 "
1.01," Ativo Circulante "," 224534 "," 313975 "," 280699 "
1.01.01," Caixa e Equivalentes de Caixa "," 201627 "," 293238 "," 255344 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 201627 "," 293238 "," 255344 "
1.01.02," Aplicações Financeiras "," 14110 "," 13500 "," 24735 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 14110 "," 13500 "," 24735 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações financeiras - conta reserva "," "," "," "
1.01.02.01.04," Aplicações financeiras "," 14110 "," 13500 "," 24735 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 7613 "," 4833 "," 0 "
1.01.03.01," Clientes "," 7613 "," 4833 "," 0 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 3 "," 1670 "," 0 "
1.01.06.01," Tributos Correntes a Recuperar "," 3 "," 1670 "," 0 "
1.01.07," Despesas Antecipadas "," 744 "," 673 "," 620 "
1.01.07.01," Despesas Antecipadas "," 744 "," 673 "," 620 "
1.01.08," Outros Ativos Circulantes "," 437 "," 61 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 437 "," 61 "," 0 "
1.01.08.03.01," Outros créditos "," 64 "," 61 "," 0 "
1.01.08.03.02," Partes Relacionadas "," 373 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 470582 "," 333024 "," 11359 "
1.02.01," Ativo Realizável a Longo Prazo "," 2097 "," 7101 "," 0 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 2097 "," 7101 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 2097 "," 7101 "," 0 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," "," "," "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 33239 "," 36504 "," 0 "
1.02.03.01," Imobilizado em Operação "," 33239 "," 36504 "," 0 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 435246 "," 289419 "," 11359 "
1.02.04.01," Intangíveis "," 435246 "," 289419 "," 11359 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
