Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 953747 "," 909958 "," 877402 "
1.01," Ativo Circulante "," 60900 "," 51559 "," 94916 "
1.01.01," Caixa e Equivalentes de Caixa "," 19574 "," 7337 "," 2281 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 19574 "," 7337 "," 2281 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 9793 "," 8127 "," 7424 "
1.01.03.01," Clientes "," 9793 "," 8127 "," 7424 "
1.01.03.01.01," Concessionárias e permissionárias "," 9793 "," 8127 "," 7424 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 1448 "," 2760 "," 3899 "
1.01.06.01," Tributos Correntes a Recuperar "," 1448 "," 2760 "," 3899 "
1.01.06.01.01," Imposto de Renda e Contribuição Social Diferidos "," 602 "," 1580 "," 1533 "
1.01.06.01.02," Outros impostos a recuperar "," 846 "," 1180 "," 2366 "
1.01.06.01.03," Impostos a recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 269 "," 223 "," 221 "
1.01.07.01," Despesas Antecipadas "," 269 "," 223 "," 221 "
1.01.08," Outros Ativos Circulantes "," 29816 "," 33112 "," 81091 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 29816 "," 33112 "," 81091 "
1.01.08.03.01," Contas bancárias vinculadas "," 3119 "," 6127 "," 6383 "
1.01.08.03.02," Ativo contratual "," 26038 "," 26767 "," 74708 "
1.01.08.03.03," Outros créditos "," 659 "," 218 "," 0 "
1.02," Ativo Não Circulante "," 892847 "," 858399 "," 782486 "
1.02.01," Ativo Realizável a Longo Prazo "," 892847 "," 858399 "," 782478 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 21680 "," 15037 "," 14640 "
1.02.01.03.01," Aplicação financeira vinculada "," 21680 "," 15037 "," 14640 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 2058 "," 1738 "," 0 "
1.02.01.05.01," Estoque-almoxarifado "," 2058 "," 1738 "," 0 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 869109 "," 841624 "," 767838 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Ativo contratual "," 869109 "," 841624 "," 767838 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 0 "," 0 "," 8 "
1.02.03.01," Imobilizado em Operação "," 0 "," 0 "," 8 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," "," "," "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
