Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3396582 "," 2817187 "," 2746444 "
1.01," Ativo Circulante "," 1401854 "," 774743 "," 693753 "
1.01.01," Caixa e Equivalentes de Caixa "," 216512 "," 90497 "," 73721 "
1.01.02," Aplicações Financeiras "," 385730 "," 191837 "," 100633 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 385730 "," 191837 "," 100633 "
1.01.02.01.01," Títulos para Negociação "," 385730 "," 191837 "," 100633 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 288003 "," 154729 "," 97445 "
1.01.03.01," Clientes "," 288003 "," 154729 "," 97445 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 421404 "," 285987 "," 338357 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 69150 "," 30073 "," 52389 "
1.01.06.01," Tributos Correntes a Recuperar "," 69150 "," 30073 "," 52389 "
1.01.07," Despesas Antecipadas "," 7779 "," 452 "," 2564 "
1.01.08," Outros Ativos Circulantes "," 13276 "," 21168 "," 28644 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 13276 "," 21168 "," 28644 "
1.01.08.03.01," Outros ativos "," 11276 "," 9312 "," 12610 "
1.01.08.03.02," Adiantamento a fornecedor de energia "," 2000 "," 11856 "," 14292 "
1.01.08.03.03," Instrumentos Financeiros de Hedge "," 0 "," 0 "," 1742 "
1.02," Ativo Não Circulante "," 1994728 "," 2042444 "," 2052691 "
1.02.01," Ativo Realizável a Longo Prazo "," 511320 "," 555381 "," 491216 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 211409 "," 129076 "," 68649 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 211409 "," 129076 "," 68649 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Clientes "," "," "," "
1.02.01.03.02," Outras Contas a Receber "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 6834 "," 4542 "," 380 "
1.02.01.06," Ativos Biológicos "," 223683 "," 193222 "," 185160 "
1.02.01.07," Tributos Diferidos "," 16982 "," 14637 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 16982 "," 14637 "," 0 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 52412 "," 213904 "," 237027 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 3840 "," 165051 "," 177324 "
1.02.01.10.04," Depósitos Judiciais "," 45773 "," 43152 "," 40844 "
1.02.01.10.05," Depósitos para Reinvestimento "," "," "," "
1.02.01.10.06," Adiantamento a Fornecedor de Energia "," 2167 "," 4993 "," 16530 "
1.02.01.10.07," Outros Créditos "," 632 "," 708 "," 735 "
1.02.01.10.08," Instrumentos Financeiros de Hedge "," 0 "," 0 "," 1594 "
1.02.02," Investimentos "," 124 "," 124 "," 124 "
1.02.02.01," Participações Societárias "," 124 "," 124 "," 124 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 124 "," 124 "," 124 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1472836 "," 1475399 "," 1548631 "
1.02.03.01," Imobilizado em Operação "," 1369536 "," 1403072 "," 1428523 "
1.02.03.01.01," Imobilizado em Operação "," 1369536 "," 1403072 "," 1428523 "
1.02.03.02," Direito de Uso em Arrendamento "," 27341 "," 42003 "," 49552 "
1.02.03.03," Imobilizado em Andamento "," 75959 "," 30324 "," 70556 "
1.02.04," Intangível "," 10448 "," 11540 "," 12720 "
1.02.04.01," Intangíveis "," 10448 "," 11540 "," 12720 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 10448 "," 11540 "," 12720 "
1.02.04.02," Goodwill "," "," "," "
