Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 375056 "," 401983 "," 473859 "
1.01," Ativo Circulante "," 93343 "," 73755 "," 182465 "
1.01.01," Caixa e Equivalentes de Caixa "," 4027 "," 1257 "," 2429 "
1.01.01.01," Caixa e Bancos "," 4027 "," 1257 "," 2429 "
1.01.02," Aplicações Financeiras "," 75423 "," 54782 "," 145055 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 64734 "," 37272 "," 124961 "
1.01.02.01.01," Títulos para Negociação "," 64558 "," 37096 "," 124796 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos Disponíveis para Venda "," "," "," "
1.01.02.01.04," Outros "," 176 "," 176 "," 165 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 10689 "," 17510 "," 20094 "
1.01.02.02.01," Títulos Disponíveis para Venda "," 10689 "," 17510 "," 20094 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Créditos das Operações "," 10864 "," 14356 "," 19400 "
1.01.03.01," Seguros e Resseguros "," 10864 "," 14356 "," 19400 "
1.01.03.01.01," Prêmios a Receber "," 4 "," 33 "," 40 "
1.01.03.01.02," Operações com Seguradoras "," 54 "," 295 "," 176 "
1.01.03.01.03," Operações com Resseguradoras "," 2807 "," 3097 "," 2680 "
1.01.03.01.04," Outros Créditos Operacionais "," 44 "," 2447 "," 2018 "
1.01.03.01.05," Ativos de Resseguros - Provisões Técnicas "," 7955 "," 8484 "," 14486 "
1.01.03.02," Previdência Complementar "," "," "," "
1.01.03.03," Capitalização "," "," "," "
1.01.03.04," Outras Operações "," "," "," "
1.01.04," Títulos e Créditos a Receber "," 2977 "," 3254 "," 15497 "
1.01.04.01," Títulos e Créditos a Receber "," 247 "," 877 "," 221 "
1.01.04.02," Direitos Resultantes da Venda de Imóveis "," 2249 "," 600 "," 8983 "
1.01.04.03," Créditos Trbutários e Previdênciários "," 467 "," 1769 "," 6217 "
1.01.04.04," Outros Créditos "," 14 "," 8 "," 76 "
1.01.05," Outros Valores e Bens "," 52 "," 49 "," 45 "
1.01.05.01," Outros Valores "," 52 "," 49 "," 45 "
1.01.06," Empréstimos e Depósitos Compulsórios "," "," "," "
1.01.07," Despesas Antecipadas "," 0 "," 57 "," 39 "
1.01.08," Despesas de Comercialização Diferidas "," "," "," "
1.01.09," Outros Ativos Circulantes "," "," "," "
1.01.09.01," Ativos Não Correntes a Venda "," "," "," "
1.01.09.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.09.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 281713 "," 328228 "," 291394 "
1.02.01," Ativo Realizável a Longo Prazo "," 151897 "," 186672 "," 159118 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 0 "," 45120 "," 15856 "
1.02.01.03.01," Títulos Mantidos até o Vencimento "," 0 "," 45120 "," 15856 "
1.02.01.04," Créditos das Operações "," 62103 "," 57117 "," 62017 "
1.02.01.04.01," Operações com Seguros e Resseguradoras "," 2933 "," 101 "," 101 "
