Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 24641840 "," 21653387 "," 18710421 "
1.01," Ativo Circulante "," 7308224 "," 7845423 "," 4843170 "
1.01.01," Caixa e Equivalentes de Caixa "," 275772 "," 749705 "," 240257 "
1.01.02," Aplicações Financeiras "," 1086815 "," 3119943 "," 692230 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1086815 "," 3119943 "," 692230 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras "," 1086815 "," 3119943 "," 692230 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 3203411 "," 2598210 "," 2188161 "
1.01.03.01," Clientes "," 3199246 "," 2584646 "," 2171886 "
1.01.03.01.01," Consumidores e concessiónarias "," 3199246 "," 2584646 "," 2171886 "
1.01.03.02," Outras Contas a Receber "," 4165 "," 13564 "," 16275 "
1.01.03.02.01," Títulos a receber a receber "," 4165 "," 13564 "," 16275 "
1.01.03.02.02," Dividendos a receber "," "," "," "
1.01.03.02.03," Juros sobre capital proprio a receber "," "," "," "
1.01.03.02.04," Devedores diversos "," "," "," "
1.01.03.02.05," (-) Perda no valor recuperável - títulos a receber "," "," "," "
1.01.04," Estoques "," 53156 "," 52757 "," 59402 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 576463 "," 331803 "," 488126 "
1.01.06.01," Tributos Correntes a Recuperar "," 576463 "," 331803 "," 488126 "
1.01.06.01.01," Imposto de renda e contribuição social "," 243663 "," 145715 "," 350325 "
1.01.06.01.02," Outros tributos a recuperar "," 332800 "," 186088 "," 137801 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 2112607 "," 993005 "," 1174994 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.01.01," Ativos disponiveis para venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 2112607 "," 993005 "," 1174994 "
1.01.08.03.01," Serviços em curso "," "," "," "
1.01.08.03.02," Redução de receita - baixa renda "," "," "," "
1.01.08.03.03," Aquisição de combustivel conta CCC "," "," "," "
1.01.08.03.04," Sub-rogação da CCC "," "," "," "
1.01.08.03.05," Operações com opções "," "," "," "
1.01.08.03.06," Ativos financeiros setoriais "," 1123850 "," 181500 "," 614870 "
1.01.08.03.07," Contas a receber da concessão "," "," "," "
1.01.08.03.08," Instrumentos financeiros derivativos "," 350344 "," 393708 "," 52756 "
1.01.08.03.20," Outros créditos "," 638413 "," 417797 "," 507368 "
1.02," Ativo Não Circulante "," 17333616 "," 13807964 "," 13867251 "
1.02.01," Ativo Realizável a Longo Prazo "," 11163060 "," 7737473 "," 7410291 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 88575 "," 96887 "," 97264 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 816520 "," 633078 "," 506104 "
1.02.01.03.01," Consumidores e concessionárias "," 816520 "," 633078 "," 506104 "
1.02.01.03.02," Outras Contas a Receber "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
