Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1248044 "," 1109891 "," 1037082 "
1.01," Ativo Circulante "," 418114 "," 316951 "," 261541 "
1.01.01," Caixa e Equivalentes de Caixa "," 4340 "," 3903 "," 2220 "
1.01.02," Aplicações Financeiras "," 180 "," 3026 "," 2329 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 180 "," 3026 "," 2329 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 180 "," 3026 "," 2329 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 214246 "," 190997 "," 153444 "
1.01.03.01," Clientes "," 214246 "," 190997 "," 153444 "
1.01.03.01.01," Clientes "," 219906 "," 196233 "," 161921 "
1.01.03.01.02," Provisão para perda estimada "," -5660 "," -5236 "," -8477 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 166247 "," 85482 "," 76408 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 16390 "," 13727 "," 9670 "
1.01.06.01," Tributos Correntes a Recuperar "," 16390 "," 13727 "," 9670 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 16711 "," 19816 "," 17470 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 16711 "," 19816 "," 17470 "
1.01.08.03.01," Títulos a Receber "," 2202 "," 2202 "," 2202 "
1.01.08.03.02," Outras Contas a Receber "," 14509 "," 17614 "," 15268 "
1.01.08.03.03," Debêntures "," "," "," "
1.02," Ativo Não Circulante "," 829930 "," 792940 "," 775541 "
1.02.01," Ativo Realizável a Longo Prazo "," 600937 "," 566810 "," 550681 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 27052 "," 20086 "," 18032 "
1.02.01.09.01," Créditos com Coligadas "," 27052 "," 20086 "," 18032 "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 573885 "," 546724 "," 532649 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Títulos a Receber "," 15703 "," 15703 "," 15703 "
1.02.01.10.04," Direitos Creditórios "," 180525 "," 163031 "," 153751 "
1.02.01.10.05," Tributos a Recuperar "," 33112 "," 25357 "," 21873 "
1.02.01.10.06," Debêntures "," 324582 "," 324582 "," 324582 "
1.02.01.10.07," Outras Contas a Receber "," 19963 "," 18051 "," 16740 "
1.02.02," Investimentos "," 64743 "," 64803 "," 64033 "
1.02.02.01," Participações Societárias "," 484 "," 544 "," 524 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 484 "," 544 "," 524 "
1.02.02.02," Propriedades para Investimento "," 64259 "," 64259 "," 63509 "
1.02.03," Imobilizado "," 135439 "," 131518 "," 129900 "
1.02.03.01," Imobilizado em Operação "," 119814 "," 119788 "," 125181 "
1.02.03.02," Direito de Uso em Arrendamento "," 4743 "," 4956 "," 1191 "
1.02.03.03," Imobilizado em Andamento "," 10882 "," 6774 "," 3528 "
1.02.04," Intangível "," 28811 "," 29809 "," 30927 "
1.02.04.01," Intangíveis "," 28811 "," 29809 "," 30927 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Software "," 3543 "," 4540 "," 5660 "
1.02.04.01.03," Marcas e Patentes "," 25268 "," 25269 "," 25267 "
1.02.04.02," Goodwill "," "," "," "
