Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1011931 "," 745268 "," 545587 "
1.01," Ativo Circulante "," 740202 "," 486081 "," 232558 "
1.01.01," Caixa e Equivalentes de Caixa "," 218864 "," 81175 "," 9032 "
1.01.02," Aplicações Financeiras "," 0 "," 0 "," 326 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 0 "," 0 "," 326 "
1.01.03," Contas a Receber "," 153229 "," 89938 "," 56738 "
1.01.03.01," Clientes "," 153229 "," 89938 "," 56738 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 185268 "," 73470 "," 104921 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 126392 "," 88986 "," 23496 "
1.01.06.01," Tributos Correntes a Recuperar "," 126392 "," 88986 "," 23496 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 56449 "," 152512 "," 38045 "
1.01.08.01," Ativos Não-Correntes a Venda "," 4845 "," 109339 "," 8415 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 51604 "," 43173 "," 29630 "
1.01.08.03.01," Partes Relacionadas "," "," "," "
1.01.08.03.02," Outros "," 51604 "," 43173 "," 29630 "
1.02," Ativo Não Circulante "," 271729 "," 259187 "," 313029 "
1.02.01," Ativo Realizável a Longo Prazo "," 30482 "," 58315 "," 73656 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Clientes "," "," "," "
1.02.01.03.02," Outras Contas a Receber "," "," "," "
1.02.01.04," Contas a Receber "," 1595 "," 2270 "," 2250 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 1595 "," 2270 "," 2250 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 28887 "," 56045 "," 71406 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 10629 "," 34694 "," 40834 "
1.02.01.10.04," Depósitos Judiciais e Incentivos Fiscais "," 10500 "," 12202 "," 19362 "
1.02.01.10.05," Ativo de direito uso "," 7758 "," 9149 "," 11210 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 240643 "," 199730 "," 238789 "
1.02.03.01," Imobilizado em Operação "," 196122 "," 194603 "," 233932 "
1.02.03.01.01," Imobilizado em Operação "," 227864 "," 231178 "," 347880 "
1.02.03.01.02," Perda Estimada por Redução ao Valor Recuperável do Imobilizado "," -31742 "," -36575 "," -113948 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," 44521 "," 5127 "," 4857 "
1.02.04," Intangível "," 604 "," 1142 "," 584 "
1.02.04.01," Intangíveis "," -15934 "," -15396 "," -15954 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Software "," 720 "," 1359 "," 3033 "
1.02.04.01.03," Outros Intangíveis "," 957 "," 957 "," 956 "
1.02.04.01.05," Intangível em Andamento "," "," "," "
1.02.04.01.06," Perda Estimada por Redução ao Valor Recuperável do Intangível "," -17611 "," -17712 "," -19943 "
1.02.04.02," Goodwill "," 16538 "," 16538 "," 16538 "
