Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 565 "," 545 "," 774 "
1.01," Caixa e Equivalentes de Caixa "," "," "," "
1.01.01," Caixa "," "," "," "
1.01.02," Aplicações de Liquidez "," "," "," "
1.02," Ativos Financeiros "," "," "," "
1.02.01," Depósito Compulsório Banco Central "," "," "," "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," "," "," "
1.02.02.01," Títulos e Valores Mobiliários "," "," "," "
1.02.02.02," Derivativos "," "," "," "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.03.01," Títulos e Valores Mobiliários "," "," "," "
1.02.04," Ativos Financeiros ao Custo Amortizado "," "," "," "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," "," "," "
1.02.04.02," Aplicações no Mercado Aberto "," "," "," "
1.02.04.03," Títulos e Valores Mobiliários "," "," "," "
1.02.04.04," Operações de Crédito "," "," "," "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," "," "," "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," "," "," "
1.02.04.08," Outros Ativos Financeiros "," "," "," "
1.03," Tributos "," "," "," "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," "," "," "
1.03.01.01," Dependências no Exterior "," "," "," "
1.03.01.02," Participações em Controladas "," "," "," "
1.03.01.03," Participações em Coligadas e Equiparadas "," "," "," "
1.03.01.04," Outros Investimentos "," "," "," "
1.03.01.05," Provisão para Perdas "," "," "," "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," "," "," "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 555 "," 540 "," 748 "
1.04.01," Ativos Não Correntes a Venda "," "," "," "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 555 "," 540 "," 748 "
1.04.03.01," Valores a receber "," 555 "," 540 "," 748 "
1.05," Investimentos "," 10 "," 5 "," 26 "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Participações em Controladas "," "," "," "
1.05.04," Propriedades para Investimento "," 10 "," 5 "," 26 "
1.05.04.01," Portfólio da entidade de investimento "," 10 "," 5 "," 26 "
1.05.05," Outros Investimentos "," "," "," "
1.06," Imobilizado "," "," "," "
1.06.01," Imobilizado de Uso "," "," "," "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," "," "," "
1.07," Intangível "," "," "," "
1.07.01," Intangíveis "," "," "," "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
