Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6654524 "," 5860911 "," 5193678 "
1.01," Ativo Circulante "," 3367187 "," 3171052 "," 2835219 "
1.01.01," Caixa e Equivalentes de Caixa "," 1322975 "," 1040931 "," 1074622 "
1.01.02," Aplicações Financeiras "," 683 "," 2641 "," 100163 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 683 "," 2641 "," 100163 "
1.01.02.01.01," Títulos para Negociação "," 683 "," 2641 "," 100163 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 657575 "," 970452 "," 863015 "
1.01.03.01," Clientes "," 657575 "," 970452 "," 863015 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 987614 "," 748411 "," 552691 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 234156 "," 228711 "," 158941 "
1.01.06.01," Tributos Correntes a Recuperar "," 234156 "," 228711 "," 158941 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 164184 "," 179906 "," 85787 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 164184 "," 179906 "," 85787 "
1.02," Ativo Não Circulante "," 3287337 "," 2689859 "," 2358459 "
1.02.01," Ativo Realizável a Longo Prazo "," 1309063 "," 758936 "," 607593 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 75061 "," 67961 "," 51646 "
1.02.01.04," Contas a Receber "," 1013092 "," 526250 "," 435689 "
1.02.01.04.01," Clientes "," 435455 "," 449933 "," 360775 "
1.02.01.04.02," Outras Contas a Receber "," 69545 "," 71404 "," 70763 "
1.02.01.04.03," Tributos a Recuperar "," 508092 "," 4913 "," 4151 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 220910 "," 164725 "," 120258 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 220910 "," 164725 "," 120258 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," "," "," "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.02," Investimentos "," 608127 "," 578673 "," 521486 "
1.02.02.01," Participações Societárias "," 560123 "," 489312 "," 472580 "
1.02.02.01.01," Participações em Coligadas "," 102915 "," 374458 "," 366588 "
1.02.02.01.04," Participações em Controladas em Conjunto "," 451901 "," 111462 "," 105809 "
1.02.02.01.05," Outros Investimentos "," 5307 "," 3392 "," 183 "
1.02.02.02," Propriedades para Investimento "," 48004 "," 89361 "," 48906 "
1.02.03," Imobilizado "," 1017759 "," 1006320 "," 941203 "
1.02.03.01," Imobilizado em Operação "," 960533 "," 936647 "," 891235 "
1.02.03.02," Direito de Uso em Arrendamento "," 57226 "," 69673 "," 49968 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 352388 "," 345930 "," 288177 "
1.02.04.01," Intangíveis "," 42628 "," 43204 "," 42381 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 42628 "," 43204 "," 42381 "
1.02.04.02," Goodwill "," 309760 "," 302726 "," 245796 "
