Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2156525 "," 1650514 "," 1705306 "
1.01," Ativo Circulante "," 861067 "," 719710 "," 611337 "
1.01.01," Caixa e Equivalentes de Caixa "," 225382 "," 199646 "," 158765 "
1.01.02," Aplicações Financeiras "," 535603 "," 439747 "," 416792 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 535321 "," 433722 "," 411561 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 282 "," 6025 "," 5231 "
1.01.03," Contas a Receber "," 89552 "," 62042 "," 16031 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," 89552 "," 62042 "," 16031 "
1.01.03.02.01," Dividendos a Receber "," 7 "," 20657 "," 13770 "
1.01.03.02.10," Créditos com Operações Financeiras "," 14252 "," 0 "," 0 "
1.01.03.02.15," Alienação de Investimentos "," 12086 "," 18062 "," 0 "
1.01.03.02.16," Alienação de Estoque "," 62733 "," 22176 "," 0 "
1.01.03.02.20," Outras Contas a Receber "," 474 "," 1147 "," 2261 "
1.01.04," Estoques "," 0 "," 1264 "," 791 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 10246 "," 16982 "," 17933 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 284 "," 29 "," 1025 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 284 "," 29 "," 1025 "
1.01.08.03.01," Juros Debêntures - Klabin "," "," "," "
1.01.08.03.02," Outros "," 284 "," 29 "," 1025 "
1.02," Ativo Não Circulante "," 1295458 "," 930804 "," 1093969 "
1.02.01," Ativo Realizável a Longo Prazo "," 23109 "," 92761 "," 109088 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 457 "," 485 "," 528 "
1.02.01.04," Contas a Receber "," 0 "," 77117 "," 0 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.15," Alienação de Investimentos "," 0 "," 11117 "," 0 "
1.02.01.04.16," Alienação de Estoque "," 0 "," 66000 "," 0 "
1.02.01.05," Estoques "," 10930 "," 10930 "," 103690 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 1664 "," 374 "," 987 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 10058 "," 3855 "," 3883 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Tributos a Recuperar "," 9267 "," 0 "," 0 "
1.02.01.10.04," Depósitos Judiciais "," 763 "," 763 "," 763 "
1.02.01.10.05," Juros Debêntures - Klabin "," "," "," "
1.02.01.10.06," Ações Preferenciais Resgatáveis "," 0 "," 2409 "," 2409 "
1.02.01.10.20," Outros Ativos Não Circulantes "," 28 "," 683 "," 711 "
1.02.02," Investimentos "," 1261842 "," 827681 "," 973360 "
1.02.02.01," Participações Societárias "," 1238530 "," 804447 "," 926972 "
1.02.02.01.01," Participações em Coligadas "," 274288 "," 670196 "," 842201 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 964242 "," 134251 "," 84771 "
1.02.02.02," Propriedades para Investimento "," 23312 "," 23234 "," 46388 "
1.02.02.02.01," Outros Investimentos "," 183 "," 183 "," 183 "
1.02.02.02.02," Propriedades para Investimento "," 23129 "," 23051 "," 46205 "
1.02.03," Imobilizado "," 10474 "," 10333 "," 11468 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 33 "," 29 "," 53 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
