Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1675572193 "," 1604653790 "," 1378527685 "
1.01," Caixa e Equivalentes de Caixa "," 71386319 "," 190820989 "," 61879493 "
1.01.01," Caixa "," 21284330 "," 23845061 "," 18988662 "
1.01.02," Aplicações de Liquidez "," 50101989 "," 166975928 "," 42890831 "
1.02," Ativos Financeiros "," 1466982979 "," 1275712369 "," 1195573941 "
1.02.01," Depósito Compulsório Banco Central "," 87317302 "," 83757533 "," 90622337 "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 336560965 "," 275986689 "," 249759777 "
1.02.02.01," Títulos e Valores Mobiliários "," 314376240 "," 251171296 "," 235248587 "
1.02.02.02," Derivativos "," 22184725 "," 24815393 "," 14511190 "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 193516537 "," 185841975 "," 192450010 "
1.02.03.01," Títulos e Valores Mobiliários "," 193516537 "," 185841975 "," 192450010 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 849588175 "," 730126172 "," 662741817 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," 15926577 "," 11695312 "," 10805230 "
1.02.04.02," Aplicações no Mercado Aberto "," 17398250 "," 12753491 "," 5387730 "
1.02.04.03," Títulos e Valores Mobiliários "," 178819275 "," 179623894 "," 166918360 "
1.02.04.04," Operações de Crédito "," 610549884 "," 510570325 "," 454534860 "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," -40743450 "," -39508937 "," -33703277 "
1.02.04.06," Operações de Arrendamento "," 3283723 "," 2646438 "," 2857515 "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," -57535 "," -70468 "," -160382 "
1.02.04.08," Outros Ativos Financeiros "," 64411451 "," 52416117 "," 56101781 "
1.03," Tributos "," 92030290 "," 92314682 "," 75255856 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," 13286829 "," 15330420 "," 15685801 "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," 78743461 "," 76984262 "," 59570055 "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 9190927 "," 9678317 "," 8798914 "
1.04.01," Ativos Não Correntes a Venda "," 1196272 "," 1202488 "," 1357026 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 7994655 "," 8475829 "," 7441888 "
1.05," Investimentos "," 7557566 "," 7386840 "," 7635612 "
1.05.01," Participações em Coligadas "," 6136420 "," 5951403 "," 6246966 "
1.05.02," Participações em Controladas em Conjunto "," 1421146 "," 1435437 "," 1388646 "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 13513105 "," 14071129 "," 14659222 "
1.06.01," Imobilizado de Uso "," 13513105 "," 14071129 "," 14659222 "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," "," "," "
1.07," Intangível "," 14911007 "," 14669464 "," 14724647 "
1.07.01," Intangíveis "," 14911007 "," 14669464 "," 14724647 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
