Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1992069 "," 1369593 "," 955559 "
1.01," Ativo Circulante "," 1722880 "," 1112757 "," 707312 "
1.01.01," Caixa e Equivalentes de Caixa "," 65247 "," 34850 "," 22473 "
1.01.02," Aplicações Financeiras "," 538983 "," 395726 "," 294151 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 538983 "," 395726 "," 294151 "
1.01.03," Contas a Receber "," 317618 "," 287182 "," 155071 "
1.01.03.01," Clientes "," 317618 "," 287182 "," 155071 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 519726 "," 226861 "," 151235 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 261791 "," 159666 "," 74175 "
1.01.06.01," Tributos Correntes a Recuperar "," 261791 "," 159666 "," 74175 "
1.01.07," Despesas Antecipadas "," 202 "," 149 "," 150 "
1.01.08," Outros Ativos Circulantes "," 19313 "," 8323 "," 10057 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 19313 "," 8323 "," 10057 "
1.02," Ativo Não Circulante "," 269189 "," 256836 "," 248247 "
1.02.01," Ativo Realizável a Longo Prazo "," 15450 "," 12425 "," 13837 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 15450 "," 12425 "," 13837 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciaias "," 13612 "," 9846 "," 10250 "
1.02.01.10.04," Tributos a Recuperar "," 1838 "," 2521 "," 3500 "
1.02.01.10.05," Outros Créditos "," 0 "," 58 "," 87 "
1.02.02," Investimentos "," 22515 "," 22515 "," 15789 "
1.02.02.01," Participações Societárias "," 22515 "," 22515 "," 15789 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 22515 "," 22515 "," 15789 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 227145 "," 218006 "," 214822 "
1.02.03.01," Imobilizado em Operação "," 202835 "," 207917 "," 195257 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," 24310 "," 10089 "," 19565 "
1.02.04," Intangível "," 4079 "," 3890 "," 3799 "
1.02.04.01," Intangíveis "," 4079 "," 3890 "," 3799 "
1.02.04.01.01," Contrato de Concessão "," 4079 "," 3890 "," 3799 "
1.02.04.02," Goodwill "," "," "," "
