Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 972951000 "," 987419000 "
1.01," Ativo Circulante "," 168247000 "," 142323000 "
1.01.01," Caixa e Equivalentes de Caixa "," 58410000 "," 60856000 "
1.01.02," Aplicações Financeiras "," 3630000 "," 3424000 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 35538000 "," 24584000 "
1.01.03.01," Clientes "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 40486000 "," 29500000 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 7511000 "," 13483000 "
1.01.06.01," Tributos Correntes a Recuperar "," 7511000 "," 13483000 "
1.01.06.01.01," Imposto de renda e contribuição social "," 911000 "," 2170000 "
1.01.06.01.02," Impostos e Contribuições "," 6600000 "," 11313000 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 22672000 "," 10476000 "
1.01.08.01," Ativos Não-Correntes a Venda "," 13895000 "," 4081000 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 8777000 "," 6395000 "
1.01.08.03.01," Depósitos Vinculados a Class Action "," "," "
1.01.08.03.02," Adiantamento a Fornecedores "," "," "
1.01.08.03.03," Outros Ativos "," 8777000 "," 6395000 "
1.02," Ativo Não Circulante "," 804704000 "," 845096000 "
1.02.01," Ativo Realizável a Longo Prazo "," 79992000 "," 104974000 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 247000 "," 227000 "
1.02.01.04," Contas a Receber "," 10603000 "," 13675000 "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 21568000 "," 49935000 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 3371000 "," 33524000 "
1.02.01.07.02," Impostos e Contribuições "," 18197000 "," 16411000 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 47574000 "," 41137000 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Adiantamento a Fornecedores "," "," "
1.02.01.10.04," Depósitos Judiciais "," 44858000 "," 37838000 "
1.02.01.10.05," Outros Realizáveis a Longo Prazo "," 2716000 "," 3299000 "
1.02.02," Investimentos "," 8427000 "," 17010000 "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 699406000 "," 645434000 "
1.02.03.01," Imobilizado em Operação "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 16879000 "," 77678000 "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
