Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 96248 "," 97685 "," 73738 "
2.01," Passivo Circulante "," 19740 "," 17981 "," 13705 "
2.01.01," Obrigações Sociais e Trabalhistas "," 5231 "," 4197 "," 3500 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 5231 "," 4197 "," 3500 "
2.01.02," Fornecedores "," 472 "," 532 "," 679 "
2.01.02.01," Fornecedores Nacionais "," 472 "," 532 "," 679 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 6613 "," 4805 "," 6068 "
2.01.03.01," Obrigações Fiscais Federais "," 6613 "," 4805 "," 6068 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 2138 "," 1 "," 1859 "
2.01.03.01.02," Parcelamento de Tributos - INSS "," 214 "," 214 "," 214 "
2.01.03.01.03," Impostos e Contribuições a Pagar "," 4261 "," 4590 "," 3995 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," "," "," "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 7424 "," 8447 "," 3458 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 7424 "," 8447 "," 3458 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 4027 "," 5388 "," 1383 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Arrendamento Mercantil "," 1160 "," 1533 "," 1634 "
2.01.05.02.05," Outros Passivos "," 2237 "," 1526 "," 441 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 10687 "," 9707 "," 8277 "
2.02.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 3378 "," 1594 "," 2966 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 3378 "," 1594 "," 2966 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Arrendamento Mercantil "," 2032 "," 34 "," 1213 "
2.02.02.02.04," Parcelamento de Tributos - INSS "," 1346 "," 1560 "," 1753 "
2.02.03," Tributos Diferidos "," 6323 "," 7433 "," 2556 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 6323 "," 7433 "," 2556 "
2.02.04," Provisões "," 986 "," 680 "," 2755 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
