Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 668104 "," 569367 "," 515472 "
2.01," Passivo Circulante "," 72646 "," 54859 "," 46592 "
2.01.01," Obrigações Sociais e Trabalhistas "," 20449 "," 13578 "," 11498 "
2.01.01.01," Obrigações Sociais "," 4725 "," 4152 "," 3492 "
2.01.01.02," Obrigações Trabalhistas "," 15724 "," 9426 "," 8006 "
2.01.02," Fornecedores "," 12776 "," 7811 "," 7608 "
2.01.02.01," Fornecedores Nacionais "," 12776 "," 7811 "," 7608 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 8108 "," 4413 "," 3256 "
2.01.03.01," Obrigações Fiscais Federais "," 7582 "," 3695 "," 3080 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 3458 "," 854 "," 477 "
2.01.03.01.02," Refis - Programa de Recuperação Fiscal "," "," "," "
2.01.03.01.03," Outras Obrigações Fiscais Federais "," 4124 "," 2841 "," 2603 "
2.01.03.02," Obrigações Fiscais Estaduais "," 6 "," 479 "," 12 "
2.01.03.03," Obrigações Fiscais Municipais "," 520 "," 239 "," 164 "
2.01.04," Empréstimos e Financiamentos "," 5327 "," 5259 "," 4612 "
2.01.04.01," Empréstimos e Financiamentos "," 5327 "," 5259 "," 4612 "
2.01.04.01.01," Em Moeda Nacional "," 5327 "," 5259 "," 4612 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 25986 "," 23798 "," 19618 "
2.01.05.01," Passivos com Partes Relacionadas "," 830 "," 1058 "," 1234 "
2.01.05.01.01," Débitos com Coligadas "," 830 "," 1058 "," 1234 "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 25156 "," 22740 "," 18384 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 4931 "," 575 "," 278 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 9710 "," 13215 "," 12278 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Arrendamentos a Pagar "," 243 "," 380 "," 360 "
2.01.05.02.05," Créditos de Clientes "," "," "," "
2.01.05.02.06," Contratos de Parceria "," "," "," "
2.01.05.02.07," Outros Passivos Circulantes "," 10272 "," 8570 "," 5468 "
2.01.05.02.08," Dividendos a Pagar "," "," "," "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 53057 "," 52326 "," 48355 "
2.02.01," Empréstimos e Financiamentos "," 755 "," 3852 "," 6249 "
2.02.01.01," Empréstimos e Financiamentos "," 755 "," 3852 "," 6249 "
2.02.01.01.01," Em Moeda Nacional "," 755 "," 3852 "," 6249 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 5856 "," 3456 "," 2475 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 5856 "," 3456 "," 2475 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Refis - Programa de Recuperação Fiscal "," "," "," "
2.02.02.02.04," Arrendamentos a Pagar "," 0 "," 233 "," 527 "
2.02.02.02.05," Outros "," 5856 "," 3223 "," 1948 "
2.02.03," Tributos Diferidos "," 46319 "," 45004 "," 39475 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 46319 "," 45004 "," 39475 "
2.02.04," Provisões "," 127 "," 14 "," 156 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 127 "," 14 "," 156 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 116 "," 3 "," 3 "
2.02.04.01.05," Provisões Trabalhistas "," 11 "," 11 "," 153 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Outras Obrigações "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 542401 "," 462182 "," 420525 "
2.03.01," Capital Social Realizado "," 238836 "," 177375 "," 177375 "
2.03.02," Reservas de Capital "," "," "," "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Subvenção de Investimentos "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.03.01," Ativos Próprios "," "," "," "
2.03.03.02," Ativos Controladas "," "," "," "
2.03.04," Reservas de Lucros "," 204066 "," 181542 "," 139118 "
2.03.04.01," Reserva Legal "," 33749 "," 28404 "," 25622 "
2.03.04.02," Reserva Estatutária "," 152487 "," 153138 "," 113496 "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 17830 "," 0 "," 0 "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.06.01," Ativos Próprios "," "," "," "
2.03.06.02," Ativos Controladas "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," 99077 "," 102837 "," 103629 "
2.03.09," Participação dos Acionistas Não Controladores "," 422 "," 428 "," 403 "
