Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 7319532 "," 6825236 "," 5534273 "
2.01," Passivo Circulante "," 4919782 "," 4601458 "," 3819219 "
2.01.01," Depósitos "," 4676763 "," 4288973 "," 3585993 "
2.01.01.01," Depósitos à Vista "," 1158353 "," 1046963 "," 769990 "
2.01.01.02," Depósito de Poupança "," 1937941 "," 1879392 "," 1472015 "
2.01.01.03," Depósito à Prazo "," 1428462 "," 1222712 "," 1217270 "
2.01.01.04," Depósito Interfinanceiros "," 152007 "," 139906 "," 126718 "
2.01.01.05," Outros Depósitos "," "," "," "
2.01.02," Captações no Mercado Aberto "," 0 "," 0 "," 104 "
2.01.02.01," Carteira Própria "," 0 "," 0 "," 104 "
2.01.03," Recursos de Aceites e Emissão de Títulos "," 40364 "," 43873 "," 48439 "
2.01.04," Relações Interfinanceiras "," 1577 "," 2159 "," 142 "
2.01.05," Relações Interdependências "," 298 "," 262 "," 407 "
2.01.06," Obrigações por Empréstimos "," "," "," "
2.01.07," Obrigações por Repasse do País "," 56918 "," 44804 "," 20333 "
2.01.08," Obrigações por Repasse do Exterior "," "," "," "
2.01.09," Outras Obrigações "," 143862 "," 221387 "," 163801 "
2.01.09.01," Cobrança Arrec. de Trib.e Assemelhados "," 2607 "," 498 "," 1337 "
2.01.09.02," Fiscais e Previdênciárias "," 11043 "," 31588 "," 13581 "
2.01.09.03," Negociação e Intermediação de Valores "," "," "," "
2.01.09.04," Diversas "," 114030 "," 175932 "," 139689 "
2.01.09.05," Sociais e Estatutárias "," 16182 "," 13369 "," 9194 "
2.01.09.06," Dívidas Subordinadas "," "," "," "
2.02," Passivo Exigível a Longo Prazo "," 1828595 "," 1728299 "," 1270142 "
2.02.01," Depósitos "," 1427559 "," 1329854 "," 935533 "
2.02.01.01," Depósitos à Prazo "," 1427559 "," 1329854 "," 935533 "
2.02.02," Captações no Mercado Aberto "," 12954 "," 7814 "," 0 "
2.02.03," Recursos de Aceites e Emissão de Títulos "," 20369 "," 38700 "," 50566 "
2.02.04," Relações Interfinanceiras "," "," "," "
2.02.05," Relações Interdependências "," "," "," "
2.02.06," Obrigações por Empréstimos "," "," "," "
2.02.07," Obrigações por Repasse do País "," 87632 "," 85645 "," 72551 "
2.02.08," Obrigações por Repasse do Exterior "," "," "," "
2.02.09," Outras Obrigações "," 280081 "," 266286 "," 211492 "
2.02.09.01," Diversas "," 149657 "," 157823 "," 114219 "
2.02.09.02," Fiscais e Previdênciárias "," "," "," "
2.02.09.03," Dívidas Subordinadas "," 130424 "," 108463 "," 97273 "
2.03," Resultados de Exercícios Futuros "," 9833 "," 10351 "," 11055 "
2.05," Patrimônio Líquido "," 561322 "," 485128 "," 433857 "
2.05.01," Capital Social Realizado "," 426000 "," 348000 "," 348000 "
2.05.01.01," Capital "," 426000 "," 348000 "," 348000 "
2.05.02," Reservas de Capital "," 0 "," 78000 "," 0 "
2.05.03," Reservas de Reavaliação "," "," "," "
2.05.03.01," Ativos Próprios "," "," "," "
2.05.03.02," Controladas/Coligadas e Equiparadas "," "," "," "
2.05.04," Reservas de Lucro "," 130044 "," 67305 "," 125327 "
2.05.04.01," Legal "," "," "," "
2.05.04.02," Estatutária "," "," "," "
2.05.04.03," Para Contingências "," "," "," "
2.05.04.04," De Lucros a Realizar "," "," "," "
2.05.04.05," Retenção de Lucros "," "," "," "
2.05.04.06," Especial p/ Dividendos Não Distribuídos "," "," "," "
2.05.04.07," Outras Reservas de Lucro "," "," "," "
2.05.05," Ajustes de Avaliação Patrimonial "," 5278 "," -8177 "," -39470 "
2.05.05.01," Ajustes de Títulos e Valores Mobiliários "," "," "," "
2.05.05.02," Ajustes Acumulados de Conversão "," "," "," "
2.05.05.03," Ajustes de Combinação de Negócios "," "," "," "
2.05.06," Lucros/Prejuízos Acumulados "," "," "," "
