Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 12518708 "," 10586556 "," 8793048 "
2.01," Passivos Financeiros Avaliados ao Valor Justo através do Resultado "," "," "," "
2.02," Passivos Financeiros ao Custo Amortizado "," 10595809 "," 8853960 "," 7165518 "
2.02.01," Depósitos "," 10304800 "," 8476820 "," 5931310 "
2.02.01.01," Depósitos a Vista "," 1608265 "," 988318 "," 882529 "
2.02.01.02," Depósitos a Prazo "," 7241218 "," 5853358 "," 3701985 "
2.02.01.03," Depósitos Interfinanceiros "," 0 "," 239032 "," 191919 "
2.02.01.04," Depósitos de Poupança "," 1455317 "," 1396112 "," 1154877 "
2.02.02," Captações no Mercado Aberto "," 102312 "," 167037 "," 949378 "
2.02.02.01," Captação no Mercado Aberto "," 102312 "," 167037 "," 949378 "
2.02.03," Recursos Mercado Interfinanceiro "," 188697 "," 210103 "," 284830 "
2.02.03.01," Relação Interfinanceira "," 72154 "," 44727 "," 40533 "
2.02.03.02," Relações Interdependência "," 3250 "," 2308 "," 1647 "
2.02.03.03," Emissão de Títulos "," 11923 "," 149745 "," 238789 "
2.02.03.04," Obrigações por Empréstimos no Exterior "," 63230 "," 9193 "," 3547 "
2.02.03.05," Obrigações p/ Repasses no País - BNDES "," 38140 "," 4130 "," 314 "
2.02.04," Outras Captações "," "," "," "
2.03," Provisões "," 146202 "," 136435 "," 137514 "
2.03.01," Provisão para Pagamentos a Efetuar "," 85962 "," 75868 "," 78922 "
2.03.02," Provisão para Contingências "," 60240 "," 60567 "," 58592 "
2.04," Passivos Fiscais "," "," "," "
2.05," Outros Passivos "," 137999 "," 111583 "," 124542 "
2.05.01," Outras Obrigações "," 137999 "," 111583 "," 124542 "
2.06," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.06.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.06.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.07," Patrimônio Líquido "," 1638698 "," 1484578 "," 1365474 "
2.07.01," Capital Social Realizado "," 1473121 "," 1300664 "," 1171043 "
2.07.02," Reservas de Capital "," "," "," "
2.07.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.02.04," Opções Outorgadas "," "," "," "
2.07.02.05," Ações em Tesouraria "," "," "," "
2.07.03," Reservas de Reavaliação "," "," "," "
2.07.04," Reservas de Lucros "," 165577 "," 183914 "," 194431 "
2.07.04.01," Reserva Legal "," 12064 "," 12060 "," 16203 "
2.07.04.02," Reserva Estatutária "," 137533 "," 171854 "," 178228 "
2.07.04.03," Reserva para Contingências "," "," "," "
2.07.04.04," Reserva de Lucros a Realizar "," "," "," "
2.07.04.05," Reserva de Retenção de Lucros "," "," "," "
2.07.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.07.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.07.04.08," Dividendo Adicional Proposto "," 15980 "," 0 "," 0 "
2.07.04.09," Ações em Tesouraria "," "," "," "
2.07.05," Lucros/Prejuízos Acumulados "," "," "," "
2.07.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.07.07," Ajustes Acumulados de Conversão "," "," "," "
2.07.08," Outros Resultados Abrangentes "," "," "," "
