Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 852330 "," 674947 "," 657593 "
2.01," Passivo Circulante "," 657328 "," 489601 "," 470029 "
2.01.01," Obrigações Sociais e Trabalhistas "," 20471 "," 23430 "," 21513 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.01.01," Encargos Sociais a Pagar "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 20471 "," 23430 "," 21513 "
2.01.01.02.01," Salários a Pagar "," "," "," "
2.01.01.02.02," Provisão de Férias "," 14191 "," 13361 "," 12069 "
2.01.01.02.03," Provisão Diversas "," 6280 "," 10069 "," 9444 "
2.01.02," Fornecedores "," 235494 "," 172008 "," 111665 "
2.01.02.01," Fornecedores Nacionais "," 235484 "," 171999 "," 111643 "
2.01.02.01.01," Fornecedores Nacionais "," 235484 "," 171999 "," 111643 "
2.01.02.02," Fornecedores Estrangeiros "," 10 "," 9 "," 22 "
2.01.02.02.01," Fornecedores Estrangeiros "," 10 "," 9 "," 22 "
2.01.03," Obrigações Fiscais "," 49295 "," 44006 "," 52823 "
2.01.03.01," Obrigações Fiscais Federais "," 29344 "," 29658 "," 27888 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 614 "," 122 "," 816 "
2.01.03.01.02," Obrigações Fiscais e Tributárias "," 28730 "," 29536 "," 27072 "
2.01.03.02," Obrigações Fiscais Estaduais "," 19860 "," 14233 "," 24808 "
2.01.03.02.01," ICMS a Pagar "," 19860 "," 14233 "," 24808 "
2.01.03.03," Obrigações Fiscais Municipais "," 91 "," 115 "," 127 "
2.01.03.03.01," ISS a recolher "," 91 "," 115 "," 127 "
2.01.04," Empréstimos e Financiamentos "," 281600 "," 219908 "," 257202 "
2.01.04.01," Empréstimos e Financiamentos "," 281600 "," 219790 "," 256825 "
2.01.04.01.01," Em Moeda Nacional "," 281600 "," 219790 "," 256825 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 0 "," 118 "," 377 "
2.01.04.03.01," Arrendamento Mercantil "," 0 "," 118 "," 377 "
2.01.05," Outras Obrigações "," 44744 "," 20272 "," 13765 "
2.01.05.01," Passivos com Partes Relacionadas "," 19330 "," 6928 "," 0 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," 19330 "," 6928 "," 0 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 25414 "," 13344 "," 13765 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outras Contas a Pagar "," 22737 "," 10533 "," 11670 "
2.01.05.02.05," Passivos de arrendamentos "," 2677 "," 2811 "," 2095 "
2.01.06," Provisões "," 25724 "," 9977 "," 13061 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 25724 "," 9977 "," 13061 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões Diversas "," 25724 "," 9977 "," 13061 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 373257 "," 430507 "," 472681 "
2.02.01," Empréstimos e Financiamentos "," 44438 "," 48438 "," 62986 "
2.02.01.01," Empréstimos e Financiamentos "," 44438 "," 48438 "," 62986 "
2.02.01.01.01," Em Moeda Nacional "," 44438 "," 48438 "," 62986 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.01.03.01," Arrendamento Mercantil "," "," "," "
2.02.02," Outras Obrigações "," 214519 "," 266615 "," 296761 "
2.02.02.01," Passivos com Partes Relacionadas "," 0 "," 16963 "," 28904 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," 0 "," 16963 "," 28904 "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 214519 "," 249652 "," 267857 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrigações Fiscais e Tributárias "," 134130 "," 167852 "," 182282 "
2.02.02.02.04," Valores a Pagar - Terceiros "," 522 "," 500 "," 487 "
2.02.02.02.05," Fornecedores "," "," "," "
2.02.02.02.06," Outras contas a pagar "," "," "," "
2.02.02.02.07," Provisão para Riscos Fiscais, Trab.e Cíveis "," 76072 "," 80787 "," 83791 "
2.02.02.02.08," Passivos de arrendamentos "," 3795 "," 513 "," 1297 "
2.02.03," Tributos Diferidos "," 41732 "," 43054 "," 44443 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 41732 "," 43054 "," 44443 "
2.02.04," Provisões "," 72568 "," 72400 "," 68491 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 72568 "," 72400 "," 68491 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisões diversas "," 72568 "," 72400 "," 68491 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," -178255 "," -245161 "," -285117 "
2.03.01," Capital Social Realizado "," 879785 "," 879785 "," 879785 "
2.03.01.01," Capital Social Realizado "," 879785 "," 879785 "," 879785 "
2.03.02," Reservas de Capital "," 6745 "," 6745 "," 6745 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reservas de Capital "," 6745 "," 6745 "," 6745 "
2.03.03," Reservas de Reavaliação "," 19914 "," 21996 "," 24096 "
2.03.03.01," Controladas/Coligadas e Equiparadas "," 19914 "," 21996 "," 24096 "
2.03.04," Reservas de Lucros "," "," "," "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -1145979 "," -1215541 "," -1258286 "
2.03.06," Ajustes de Avaliação Patrimonial "," 61280 "," 61854 "," 62543 "
2.03.06.01," Adoção CPCs ao Custo Atribuído "," 61280 "," 61854 "," 62543 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.07.01," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," "," "," "
