Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 5515281 "," 9129560 "," 12525033 "
2.01," Passivo Circulante "," 15365 "," 14542 "," 32353 "
2.01.01," Depósitos "," "," "," "
2.01.02," Captações no Mercado Aberto "," "," "," "
2.01.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.01.03.01," Obrigações de Títulos e Valores Mobiliários "," "," "," "
2.01.04," Relações Interfinanceiras "," "," "," "
2.01.05," Relações Interdependências "," "," "," "
2.01.06," Obrigações por Empréstimos "," "," "," "
2.01.07," Obrigações por Repasse do País "," "," "," "
2.01.08," Obrigações por Repasse do Exterior "," "," "," "
2.01.09," Outras Obrigações "," 15365 "," 14542 "," 32353 "
2.01.09.01," Sociais e Estatutárias "," 1442 "," 601 "," 2517 "
2.01.09.02," Obrigações Fiscais Correntes "," 13743 "," 13718 "," 29474 "
2.01.09.03," Credores p/antecip de vr residual "," "," "," "
2.01.09.04," Diversas "," 180 "," 223 "," 362 "
2.02," Passivo Exigível a Longo Prazo "," 229416 "," 3994543 "," 7434962 "
2.02.01," Depósitos "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.03," Recursos de Aceites e Emissão de Títulos "," 229415 "," 3994543 "," 7285951 "
2.02.03.01," Recuros de Debentures "," 229415 "," 3994543 "," 7285951 "
2.02.03.02," Obrigações de Títulos e Valores Mobiliários "," "," "," "
2.02.04," Relações Interfinanceiras "," "," "," "
2.02.05," Relações Interdependências "," "," "," "
2.02.06," Obrigações por Empréstimos "," "," "," "
2.02.07," Obrigações por Repasse do País "," "," "," "
2.02.07.01," Repasses no Pais - Insituições Oficiais "," "," "," "
2.02.08," Obrigações por Repasse do Exterior "," "," "," "
2.02.09," Outras Obrigações "," 1 "," 0 "," 149011 "
2.02.09.01," Obrigações Fiscais Correntes "," 0 "," 0 "," 148194 "
2.02.09.02," Obrigações Fiscais Diferidas "," 1 "," 0 "," 817 "
2.02.09.03," Diversas "," "," "," "
2.03," Resultados de Exercícios Futuros "," "," "," "
2.05," Patrimônio Líquido "," 5270500 "," 5120475 "," 5057718 "
2.05.01," Capital Social Realizado "," 2560000 "," 2530000 "," 2414968 "
2.05.02," Reservas de Capital "," 633 "," 490 "," 0 "
2.05.03," Reservas de Reavaliação "," "," "," "
2.05.03.01," Ativos Próprios "," "," "," "
2.05.03.02," Controladas/Coligadas e Equiparadas "," "," "," "
2.05.04," Reservas de Lucro "," 2709472 "," 2589191 "," 2641569 "
2.05.04.01," Legal "," "," "," "
2.05.04.02," Estatutária "," "," "," "
2.05.04.03," Para Contingências "," "," "," "
2.05.04.04," De Lucros a Realizar "," "," "," "
2.05.04.05," Retenção de Lucros "," "," "," "
2.05.04.06," Especial p/ Dividendos Não Distribuídos "," "," "," "
2.05.04.07," Outras Reservas de Lucro "," "," "," "
2.05.05," Ajustes de Avaliação Patrimonial "," 395 "," 794 "," 1181 "
2.05.05.01," Ajustes de Títulos e Valores Mobiliários "," "," "," "
2.05.05.02," Ajustes Acumulados de Conversão "," "," "," "
2.05.05.03," Ajustes de Combinação de Negócios "," "," "," "
2.05.06," Lucros/Prejuízos Acumulados "," "," "," "
