Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 13841170 "," 11433926 "," 9987778 "
2.01," Passivo Circulante "," 2562219 "," 2106359 "," 2190044 "
2.01.01," Obrigações Sociais e Trabalhistas "," 108152 "," 49576 "," 50882 "
2.01.01.01," Obrigações Sociais "," 108152 "," 49576 "," 50882 "
2.01.01.01.01," Obrigações Trabalhistas "," 108152 "," 49576 "," 50882 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 219163 "," 151524 "," 134825 "
2.01.02.01," Fornecedores Nacionais "," 219163 "," 151524 "," 134825 "
2.01.02.01.01," Fornecedores de Bens e Serviços "," 219163 "," 151524 "," 134825 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 78995 "," 59039 "," 58366 "
2.01.03.01," Obrigações Fiscais Federais "," 78995 "," 59039 "," 58366 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Impostos e Contribuições a Recolher "," 42040 "," 30238 "," 28226 "
2.01.03.01.03," Impostos e Contribuições de Recolhimento Diferido "," 36955 "," 28801 "," 30140 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 719738 "," 563396 "," 552707 "
2.01.04.01," Empréstimos e Financiamentos "," 415498 "," 359373 "," 179896 "
2.01.04.01.01," Em Moeda Nacional "," 415498 "," 359373 "," 179896 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 304240 "," 204023 "," 372811 "
2.01.04.02.01," Debêntures "," 15214 "," 1886 "," 155105 "
2.01.04.02.02," Juros Sobre Debêntures "," "," "," "
2.01.04.02.03," Certificados de Recebiveis Imobiliarios - CRI "," 272908 "," 202137 "," 217706 "
2.01.04.02.04," Instrumentos Financeiros e Derivativos "," 16118 "," 0 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 1268174 "," 1133272 "," 1243524 "
2.01.05.01," Passivos com Partes Relacionadas "," 110251 "," 89792 "," 110647 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," 110251 "," 89792 "," 110647 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1157923 "," 1043480 "," 1132877 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 217160 "," 418062 "," 98762 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas Cor. Parceiros nos Empreendimentos "," 31439 "," 53094 "," 46299 "
2.01.05.02.05," Adiantamento de Clientes "," 314704 "," 286428 "," 345380 "
2.01.05.02.06," Contas a Pagar por Aquisição de Imoveis "," 514205 "," 223567 "," 550548 "
2.01.05.02.07," Demais Passivos "," 80415 "," 62329 "," 91888 "
2.01.06," Provisões "," 167997 "," 149552 "," 149740 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 118351 "," 104392 "," 83544 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 60613 "," 58359 "," 49916 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," 48802 "," 40928 "," 30844 "
2.01.06.01.05," Provisões Tributárias "," 8936 "," 5105 "," 2784 "
2.01.06.02," Outras Provisões "," 49646 "," 45160 "," 66196 "
2.01.06.02.01," Provisões para Garantias "," 49646 "," 45160 "," 66196 "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 4477027 "," 3530939 "," 2622291 "
2.02.01," Empréstimos e Financiamentos "," 2921850 "," 2139609 "," 1951569 "
2.02.01.01," Empréstimos e Financiamentos "," 971836 "," 849248 "," 756790 "
2.02.01.01.01," Em Moeda Nacional "," 971836 "," 849248 "," 756790 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 1950014 "," 1290361 "," 1194779 "
2.02.01.02.01," Debêntures "," 747447 "," 4000 "," 4000 "
2.02.01.02.02," Certificados de Recebiveis Imobiliarios - CRI "," 1202567 "," 1286361 "," 1190779 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," "," "," "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," "," "," "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.03," Tributos Diferidos "," 309068 "," 314127 "," 56275 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 309068 "," 314127 "," 56275 "
2.02.04," Provisões "," 1246109 "," 1077203 "," 614447 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 106013 "," 84333 "," 64866 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 106013 "," 84333 "," 64866 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 1140096 "," 992870 "," 549581 "
2.02.04.02.01," Provisões para Garantias "," 50746 "," 32291 "," 39604 "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Impostos e Contribuições a Recolher "," "," "," "
2.02.04.02.05," Contas a Pagar por Aquisição de Imoveis "," 280339 "," 292195 "," 6520 "
2.02.04.02.06," Fornecedores de Bens e Serviços "," "," "," "
2.02.04.02.07," Deságio nos Investimentos "," "," "," "
2.02.04.02.08," Adiantamento a Clientes "," 809011 "," 668384 "," 503457 "
2.02.04.02.09," Demais Contas a Pagar "," "," "," "
2.02.04.02.10," Pis e Cofins Diferido "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 6801924 "," 5796628 "," 5175443 "
2.03.01," Capital Social Realizado "," 3395744 "," 3395744 "," 3395744 "
2.03.01.01," Capital Social "," 3395744 "," 3395744 "," 3395744 "
2.03.01.02," (-) Gastos na Emissão de Ações "," "," "," "
2.03.02," Reservas de Capital "," -72755 "," -72755 "," -71836 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," 31212 "," 31212 "," 32131 "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," (-) Gastos na emissão de ações "," -103967 "," -103967 "," -103967 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 2878841 "," 2181645 "," 1438470 "
