Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 258128 "," 155170 "," 130513 "
2.01," Passivo Circulante "," 93650 "," 57208 "," 49331 "
2.01.01," Obrigações Sociais e Trabalhistas "," 10606 "," 8648 "," 8252 "
2.01.01.01," Obrigações Sociais "," 5604 "," 4371 "," 4185 "
2.01.01.02," Obrigações Trabalhistas "," 5002 "," 4277 "," 4067 "
2.01.02," Fornecedores "," 34052 "," 10252 "," 17374 "
2.01.02.01," Fornecedores Nacionais "," 34052 "," 10252 "," 17374 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 9659 "," 9444 "," 9132 "
2.01.03.01," Obrigações Fiscais Federais "," 7974 "," 6115 "," 5859 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 3467 "," 2609 "," 1497 "
2.01.03.01.02," REFIS - Programa de recuperação fiscal "," 290 "," 283 "," 278 "
2.01.03.01.03," Outras obrigações federais "," 4217 "," 3223 "," 4084 "
2.01.03.02," Obrigações Fiscais Estaduais "," 1414 "," 3009 "," 2881 "
2.01.03.03," Obrigações Fiscais Municipais "," 271 "," 320 "," 392 "
2.01.04," Empréstimos e Financiamentos "," 23109 "," 15639 "," 10642 "
2.01.04.01," Empréstimos e Financiamentos "," 17225 "," 10724 "," 6335 "
2.01.04.01.01," Em Moeda Nacional "," 7842 "," 10724 "," 6335 "
2.01.04.01.02," Em Moeda Estrangeira "," 9383 "," 0 "," 0 "
2.01.04.02," Debêntures "," 202 "," 0 "," 0 "
2.01.04.02.01," Derivativos "," 202 "," 0 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," 5682 "," 4915 "," 4307 "
2.01.05," Outras Obrigações "," 16224 "," 13225 "," 3931 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 16224 "," 13225 "," 3931 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 9809 "," 0 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamentos de clientes "," 4101 "," 8516 "," 2160 "
2.01.05.02.05," Recursos a devolver a consorciados "," "," "," "
2.01.05.02.06," Credores diversos "," 2314 "," 4709 "," 1771 "
2.01.05.02.07," Outras contas a pagar "," "," "," "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 74409 "," 71978 "," 71095 "
2.02.01," Empréstimos e Financiamentos "," 45455 "," 30198 "," 23282 "
2.02.01.01," Empréstimos e Financiamentos "," 38299 "," 18942 "," 14536 "
2.02.01.01.01," Em Moeda Nacional "," 12038 "," 18942 "," 14536 "
2.02.01.01.02," Em Moeda Estrangeira "," 26261 "," 0 "," 0 "
2.02.01.02," Debêntures "," "," "," "
2.02.01.02.01," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 7156 "," 11256 "," 8746 "
2.02.02," Outras Obrigações "," 15022 "," 27417 "," 30618 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 15022 "," 27417 "," 30618 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Credores diversos "," 2868 "," 3392 "," 11127 "
2.02.02.02.04," Refis - Programa de recuperação fiscal "," 1714 "," 1959 "," 2201 "
2.02.02.02.05," Parcelamentos federais "," 4978 "," 7470 "," 2057 "
2.02.02.02.06," Obrigações fiscais estaduais "," "," "," "
2.02.02.02.07," Parcelamentos obrigações sociais "," 5197 "," 6155 "," 6569 "
2.02.02.02.08," Parcelamentos estaduais "," 228 "," 8237 "," 8159 "
2.02.02.02.09," Parcelamentos municipais "," 37 "," 146 "," 211 "
2.02.02.02.10," Fornecedores "," 0 "," 58 "," 294 "
2.02.03," Tributos Diferidos "," 7358 "," 6996 "," 6996 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 7358 "," 6996 "," 6996 "
2.02.04," Provisões "," 6574 "," 7367 "," 10199 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 6574 "," 7367 "," 10199 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 302 "," 1013 "," 1128 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 2436 "," 2518 "," 3964 "
2.02.04.01.05," Provisões Tributárias "," 3836 "," 3836 "," 5107 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
