Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 71970 "," 71910 "," 67125 "
2.01," Passivo Circulante "," 6830 "," 11141 "," 12725 "
2.01.01," Obrigações Sociais e Trabalhistas "," 785 "," 774 "," 924 "
2.01.01.01," Obrigações Sociais "," 501 "," 435 "," 460 "
2.01.01.02," Obrigações Trabalhistas "," 284 "," 339 "," 464 "
2.01.01.02.01," INSS "," 133 "," 131 "," 207 "
2.01.01.02.02," FGTS "," 39 "," 39 "," 37 "
2.01.01.02.03," Salários a pagar "," 112 "," 169 "," 220 "
2.01.02," Fornecedores "," 581 "," 3293 "," 812 "
2.01.02.01," Fornecedores Nacionais "," 581 "," 3293 "," 812 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 612 "," 1461 "," 4908 "
2.01.03.01," Obrigações Fiscais Federais "," 567 "," 1392 "," 4795 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 210 "," 1107 "," 4340 "
2.01.03.01.02," Fundaf "," "," "," "
2.01.03.01.03," PIS "," 36 "," 25 "," 48 "
2.01.03.01.04," Cofins "," 169 "," 115 "," 221 "
2.01.03.01.05," Retenção de Terceiros "," 152 "," 145 "," 186 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 45 "," 69 "," 113 "
2.01.03.03.01," ISSQN "," 45 "," 69 "," 113 "
2.01.04," Empréstimos e Financiamentos "," 0 "," 0 "," 91 "
2.01.04.01," Empréstimos e Financiamentos "," 0 "," 0 "," 91 "
2.01.04.01.01," Em Moeda Nacional "," 0 "," 0 "," 91 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 4852 "," 5613 "," 5990 "
2.01.05.01," Passivos com Partes Relacionadas "," 4402 "," 5206 "," 5483 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," 4402 "," 5018 "," 5317 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 0 "," 188 "," 166 "
2.01.05.02," Outros "," 450 "," 407 "," 507 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 55 "," 49 "," 41 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Retenções Contratuais "," 395 "," 358 "," 466 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões para Contratos "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1703 "," 1670 "," 1608 "
2.02.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," "," "," "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," "," "," "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 1703 "," 1670 "," 1608 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1703 "," 1670 "," 1608 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 309 "," 618 "," 844 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 1394 "," 1052 "," 764 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 63437 "," 59099 "," 52792 "
2.03.01," Capital Social Realizado "," 53100 "," 42100 "," 40550 "
2.03.01.01," Capital Social "," 53100 "," 42100 "," 40550 "
2.03.02," Reservas de Capital "," 0 "," 231 "," 231 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reserva de Incentivos Fiscais "," 0 "," 231 "," 231 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 10337 "," 16768 "," 12011 "
2.03.04.01," Reserva Legal "," 1922 "," 1697 "," 1323 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 8415 "," 15071 "," 10688 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
