Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4722224 "," 3749999 "," 2551887 "
2.01," Passivo Circulante "," 1367625 "," 1466986 "," 1252402 "
2.01.01," Obrigações Sociais e Trabalhistas "," 24402 "," 16983 "," 12291 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 24402 "," 16983 "," 12291 "
2.01.01.02.01," Salários, Encargos Sociais E Partic "," "," "," "
2.01.02," Fornecedores "," 55371 "," 122576 "," 95450 "
2.01.02.01," Fornecedores Nacionais "," 55371 "," 122576 "," 95450 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 87018 "," 86831 "," 69868 "
2.01.03.01," Obrigações Fiscais Federais "," 87018 "," 86831 "," 69868 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 87018 "," 86831 "," 69868 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 404425 "," 459309 "," 584303 "
2.01.04.01," Empréstimos e Financiamentos "," 384134 "," 332447 "," 426124 "
2.01.04.01.01," Em Moeda Nacional "," 384134 "," 332447 "," 426124 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 20291 "," 126862 "," 158179 "
2.01.04.02.01," Debentures "," 20291 "," 120737 "," 158179 "
2.01.04.02.02," Instrumentos financeiros "," 0 "," 6125 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 670862 "," 634221 "," 349755 "
2.01.05.01," Passivos com Partes Relacionadas "," 63140 "," 98430 "," 64384 "
2.01.05.01.01," Débitos com Coligadas "," 54139 "," 90198 "," 64384 "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 9001 "," 8232 "," 0 "
2.01.05.02," Outros "," 607722 "," 535791 "," 285371 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrig. Compra de Imóv. e Adto. Clientes "," 256113 "," 336029 "," 129353 "
2.01.05.02.05," Obrigações Com Investidores "," "," "," "
2.01.05.02.06," Outras Obrigações "," 344030 "," 186466 "," 135492 "
2.01.05.02.07," Obrigações com Cessão de Créditos "," 7579 "," 13296 "," 20526 "
2.01.05.02.08," Instrumentos Financeiros "," "," "," "
2.01.05.02.09," Dividendos In Natura "," "," "," "
2.01.05.02.10," Obrigação Por Venda De Ações "," "," "," "
2.01.06," Provisões "," 125547 "," 147066 "," 140735 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 125547 "," 147066 "," 140735 "
2.01.06.01.01," Provisões Fiscais "," 1019 "," 1731 "," 1995 "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 6549 "," 3164 "," 31593 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," 117979 "," 142171 "," 107147 "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.01.01," Passivos Referidos A Ativos Mantidos Para Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1538645 "," 724625 "," 404342 "
2.02.01," Empréstimos e Financiamentos "," 1164799 "," 481615 "," 146375 "
2.02.01.01," Empréstimos e Financiamentos "," 490983 "," 338027 "," 107029 "
2.02.01.01.01," Em Moeda Nacional "," 490983 "," 338027 "," 107029 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 673816 "," 143588 "," 39346 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 167111 "," 124944 "," 121975 "
2.02.02.01," Passivos com Partes Relacionadas "," 10427 "," 0 "," 0 "
2.02.02.01.01," Débitos com Coligadas "," 10427 "," 0 "," 0 "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 156684 "," 124944 "," 121975 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrig. Compra de Imóveis e Adto. Clientes "," 126867 "," 79400 "," 93075 "
2.02.02.02.04," Outras Obrigações "," 23265 "," 34648 "," 9065 "
2.02.02.02.05," Obrigações Com Investidores "," "," "," "
2.02.02.02.06," Obrigações com Cessão de Crédito "," 6552 "," 10896 "," 19835 "
2.02.02.02.07," Instrumentos Financeiros "," "," "," "
2.02.03," Tributos Diferidos "," 86701 "," 14649 "," 12114 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 86701 "," 14649 "," 12114 "
2.02.04," Provisões "," 120034 "," 103417 "," 123878 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 120034 "," 103417 "," 123878 "
2.02.04.01.01," Provisões Fiscais "," 18 "," 0 "," 707 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 306 "," 15912 "," 3149 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 119710 "," 87505 "," 120022 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 1815954 "," 1558388 "," 895143 "
2.03.01," Capital Social Realizado "," 1248575 "," 1083249 "," 2926280 "
2.03.01.01," Capital Social "," 1248575 "," 1083249 "," 2926280 "
2.03.01.02," Ações Em Tesouraria "," "," "," "
2.03.02," Reservas de Capital "," 196367 "," 335225 "," 294094 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," -2632 "," -2632 "," -43517 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Constituição Reserva De Capital "," 108801 "," 250599 "," 250599 "
2.03.02.08," Resultado de Transferência de Ações em Tesouraria "," "," "," "
2.03.02.09," Reserva de Capital e Outorga de Ações "," 90198 "," 87258 "," 87012 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," "," "," "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," 370309 "," 143903 "," -2326666 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 703 "," -3989 "," 1435 "
