Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 115104266 "," 116774155 "," 122993598 "
2.01," Passivo Circulante "," 6889142 "," 3347982 "," 2729769 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," "," "," "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1112125 "," 201290 "," 31825 "
2.01.03.01," Obrigações Fiscais Federais "," 1112125 "," 201290 "," 31825 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 1073612 "," 136029 "," 0 "
2.01.03.01.02," Outros Impostos e Contribuíções "," 38513 "," 65261 "," 31825 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," "," "," "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 5024572 "," 3146656 "," 2697944 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 5024572 "," 3146656 "," 2697944 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 4668148 "," 2832368 "," 2481526 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Passivo atuarial - PBB "," 59487 "," 45468 "," 33450 "
2.01.05.02.05," Passivo atuarial - PAS "," 19829 "," 17424 "," 17728 "
2.01.05.02.06," Credores Vinculados Liquidação Operação "," "," "," "
2.01.05.02.07," Provisão para Programa de Desligamento de Funcionário "," "," "," "
2.01.05.02.08," Instrumentos Financeiros Derivativos "," "," "," "
2.01.05.02.09," Aquisição a prazo de títulos e valores mobiliários "," 96942 "," 0 "," 0 "
2.01.05.02.10," Obrigações por depósitos a apropriar "," "," "," "
2.01.05.02.11," Despesas administrativas a pagar "," 124712 "," 126621 "," 78649 "
2.01.05.02.20," Diversas "," 55454 "," 124775 "," 86591 "
2.01.06," Provisões "," 752445 "," 36 "," 0 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 752445 "," 36 "," 0 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," 752445 "," 36 "," 0 "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 4791050 "," 9823687 "," 13242411 "
2.02.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 594778 "," 802005 "," 822702 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 594778 "," 802005 "," 822702 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Passivo atuarial - PBB "," 204799 "," 332557 "," 346133 "
2.02.02.02.04," Passivo atuarial - PAS "," 389979 "," 469448 "," 476569 "
2.02.02.02.05," Provisão para Desligamento de Funcionários "," "," "," "
2.02.02.02.06," Resultado de Exercícios Futuros "," "," "," "
2.02.02.02.07," Aquisição a prazo de títulos e valores mobiliários "," "," "," "
2.02.03," Tributos Diferidos "," 3182089 "," 7397960 "," 10919724 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 3182089 "," 7397960 "," 10919724 "
2.02.04," Provisões "," 1014183 "," 1623722 "," 1499985 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1014183 "," 1623722 "," 1499985 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 15697 "," 14370 "," 13231 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 998486 "," 1609352 "," 1486754 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 103424074 "," 103602486 "," 107021418 "
2.03.01," Capital Social Realizado "," 60344504 "," 60344504 "," 60344504 "
2.03.01.01," Capital Social "," 60344504 "," 60344504 "," 60344504 "
2.03.01.02," Capital Social a realizar "," "," "," "
2.03.02," Reservas de Capital "," "," "," "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Incentivos Fiscais "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 18351611 "," 11037364 "," 10461797 "
2.03.04.01," Reserva Legal "," 2391575 "," 1408807 "," 812519 "
2.03.04.02," Reserva Estatutária "," 0 "," 1687248 "," 863113 "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 268341 "," 268341 "," 268341 "
2.03.04.08," Dividendo Adicional Proposto "," 15691695 "," 7672968 "," 8517824 "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," Reserva de compatibilização de práticas contábeis "," "," "," "
2.03.04.11," Reservas para Aumento de Capital "," "," "," "
2.03.04.20," Outras Reservas de Lucro "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 22566976 "," 29320450 "," 35612408 "
2.03.07," Ajustes Acumulados de Conversão "," 2453665 "," 3199459 "," 1068567 "
2.03.08," Outros Resultados Abrangentes "," -292682 "," -299291 "," -465858 "
