Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 38115725 "," 35186248 "
2.01," Passivo Circulante "," 5775159 "," 5380926 "
2.01.01," Obrigações Sociais e Trabalhistas "," 171232 "," 130097 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 171232 "," 130097 "
2.01.02," Fornecedores "," 649962 "," 861752 "
2.01.02.01," Fornecedores Nacionais "," 649962 "," 861752 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 82443 "," 198541 "
2.01.03.01," Obrigações Fiscais Federais "," 82443 "," 198541 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 82443 "," 198541 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 3390934 "," 1825003 "
2.01.04.01," Empréstimos e Financiamentos "," 2848070 "," 1375627 "
2.01.04.01.01," Em Moeda Nacional "," 346601 "," 306429 "
2.01.04.01.02," Em Moeda Estrangeira "," 2501469 "," 1069198 "
2.01.04.02," Debêntures "," 542864 "," 449376 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 1416463 "," 2307307 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 1416463 "," 2307307 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 56558 "," 1385056 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Arrendamentos a pagar "," 19568 "," 19144 "
2.01.05.02.05," Concessões a pagar "," 274071 "," 228865 "
2.01.05.02.06," Outras obrigações fiscais e regulatórias "," 106555 "," 113901 "
2.01.05.02.07," Perdas não realizadas em operações de trading "," 190348 "," 321654 "
2.01.05.02.08," Outros passivos circulantes "," 769364 "," 238687 "
2.01.06," Provisões "," 64124 "," 58226 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 22060 "," 15159 "
2.01.06.01.01," Provisões Fiscais "," 537 "," 192 "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 8559 "," 2795 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," 12964 "," 12172 "
2.01.06.02," Outras Provisões "," 42064 "," 43067 "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.06.02.04," Obrigações com benefícios de aposentadoria "," 42064 "," 43067 "
2.01.06.02.05," Provisão para Desmobilização "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 24407969 "," 22063324 "
2.02.01," Empréstimos e Financiamentos "," 16743783 "," 14939052 "
2.02.01.01," Empréstimos e Financiamentos "," 10749031 "," 9825881 "
2.02.01.01.01," Em Moeda Nacional "," 8411652 "," 5722171 "
2.02.01.01.02," Em Moeda Estrangeira "," 2337379 "," 4103710 "
2.02.01.02," Debêntures "," 5994752 "," 5113171 "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 5366648 "," 4887359 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 5366648 "," 4887359 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Concessões a pagar "," 4544720 "," 3783453 "
2.02.02.02.04," Perdas não realizadas em operações de trading "," 80414 "," 36405 "
2.02.02.02.05," Ações preferenciais resgatáveis "," 510160 "," 482088 "
2.02.02.02.06," Arrendamentos a pagar "," 106816 "," 104828 "
2.02.02.02.07," Outros passivos não circulantes "," 124537 "," 480585 "
2.02.03," Tributos Diferidos "," 1504825 "," 1523222 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 1504825 "," 1523222 "
2.02.04," Provisões "," 792714 "," 713691 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 370767 "," 305845 "
2.02.04.01.01," Provisões Fiscais "," 3941 "," 5475 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 13185 "," 11231 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," 95912 "," 89063 "
2.02.04.01.05," Provisão para Desmobilização "," 257729 "," 200076 "
2.02.04.02," Outras Provisões "," 421947 "," 407846 "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
