Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 132210 "," 176392 "," 391305 "
2.01," Passivo Circulante "," 39805 "," 40409 "," 48280 "
2.01.01," Obrigações Sociais e Trabalhistas "," 6481 "," 4863 "," 6509 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 6481 "," 4863 "," 6509 "
2.01.02," Fornecedores "," 20434 "," 20244 "," 15757 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Imposto de renda e contribuição social correntes "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 0 "," 0 "," 16576 "
2.01.04.01," Empréstimos e Financiamentos "," 0 "," 0 "," 16576 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 12890 "," 15302 "," 9438 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 12890 "," 15302 "," 9438 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Dividendos a Pagar "," "," "," "
2.01.05.02.05," Outras contas a pagar "," 4241 "," 4263 "," 5442 "
2.01.05.02.06," Outros tributos a pagar "," 643 "," 784 "," 1329 "
2.01.05.02.07," Arrendamento mercantil "," "," "," "
2.01.05.02.08," Certificado de recebíveis imobiliários "," "," "," "
2.01.05.02.09," Instrumentos financeiros derivativos "," "," "," "
2.01.05.02.10," Arrendamentos e concessões "," "," "," "
2.01.05.02.11," Receitas diferidas "," "," "," "
2.01.05.02.12," Outros passivos financeiros "," 7455 "," 9704 "," 2116 "
2.01.05.02.13," Adiantamento de clientes "," 551 "," 551 "," 551 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 2016464 "," 1837219 "," 1794635 "
