Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 12130744 "," 12241267 "," 9955000 "
2.01," Passivo Circulante "," 3287767 "," 2535530 "," 1319311 "
2.01.01," Obrigações Sociais e Trabalhistas "," 21735 "," 15794 "," 14219 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 21735 "," 15794 "," 14219 "
2.01.01.02.01," Obrigações e encargos sobre folha de pagamento "," 21735 "," 15794 "," 14219 "
2.01.01.02.02," Indenizações trabalistas "," "," "," "
2.01.02," Fornecedores "," 1090256 "," 750901 "," 643084 "
2.01.02.01," Fornecedores Nacionais "," 1090256 "," 750901 "," 643084 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 619436 "," 188784 "," 270824 "
2.01.03.01," Obrigações Fiscais Federais "," 619436 "," 188784 "," 270824 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 206427 "," 152601 "," 247421 "
2.01.03.01.02," Impostos sobre lucro a recolher "," 43531 "," 36183 "," 23403 "
2.01.03.01.03," Encargos sociais e outros "," "," "," "
2.01.03.01.04," PIS/COFINS a serem restituídos a consumidores "," 369478 "," 0 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.02.01," ICMS "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.03.03.01," ISS "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 820143 "," 1020443 "," 42714 "
2.01.04.01," Empréstimos e Financiamentos "," 767272 "," 779981 "," 22449 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 52871 "," 240462 "," 20265 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 714712 "," 554075 "," 346215 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 714712 "," 554075 "," 346215 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 204071 "," 66559 "," 22120 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos do consumidor "," "," "," "
2.01.05.02.05," Encargos setorial CCC "," "," "," "
2.01.05.02.06," Encargos setoriais "," 99922 "," 123194 "," 110000 "
2.01.05.02.07," Participação nos lucros dos empregados "," 43100 "," 37924 "," 37698 "
2.01.05.02.08," Valores a pagar da recuperação judicial "," 43686 "," 30652 "," 22275 "
2.01.05.02.09," Outras contas a pagar "," 297115 "," 178810 "," 127323 "
2.01.05.02.10," Instrumentos financeiros derivativos "," "," "," "
2.01.05.02.11," Contribuição de iluminação pública "," 24313 "," 28820 "," 22449 "
2.01.05.02.12," Passivo de arrendamento "," 2505 "," 7132 "," 4350 "
2.01.05.02.13," Valores a devolver de parcela A e outros itens financeiros "," 0 "," 80984 "," 0 "
2.01.06," Provisões "," 21485 "," 5533 "," 2255 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 21485 "," 5533 "," 2255 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões regulatórias "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 5483062 "," 6332559 "," 5333815 "
2.02.01," Empréstimos e Financiamentos "," 3299643 "," 3185932 "," 3420280 "
2.02.01.01," Empréstimos e Financiamentos "," 2100412 "," 1976662 "," 2007806 "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 1199231 "," 1209270 "," 1412474 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 1566196 "," 2650527 "," 1597405 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 1566196 "," 2650527 "," 1597405 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Impostos e contribuições a recolher "," 102032 "," 171306 "," 181417 "
2.02.02.02.04," Valores a devolver de parcela A e outros itens financeiros "," 0 "," 170307 "," 127607 "
2.02.02.02.06," Valores a pagar da recuperação judicial "," 1008514 "," 940279 "," 859193 "
2.02.02.02.07," Plano de aposentadoria e pensão "," 52375 "," 41435 "," 40308 "
2.02.02.02.08," Outras contas a pagar "," 31213 "," 30187 "," 42780 "
2.02.02.02.09," Encargos setorial CCC "," 12712 "," 333903 "," 330262 "
2.02.02.02.10," Passivo de arrendamento "," 15942 "," 14558 "," 15838 "
2.02.02.02.11," PIS/COFINS a serem restituídos a consumidores "," 343408 "," 948552 "," 0 "
2.02.03," Tributos Diferidos "," 497385 "," 372621 "," 184794 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 497385 "," 372621 "," 184794 "
2.02.04," Provisões "," 119838 "," 123479 "," 131336 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 119838 "," 123479 "," 131336 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisões regulatórias "," "," "," "
