Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 273740 "," 342584 "," 342337 "
2.01," Passivo Circulante "," 408 "," 591 "," 2833 "
2.01.01," Depósitos "," "," "," "
2.01.01.01," Depósitos Interfinanceiros "," "," "," "
2.01.02," Captações no Mercado Aberto "," "," "," "
2.01.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.01.04," Relações Interfinanceiras "," "," "," "
2.01.05," Relações Interdependências "," "," "," "
2.01.06," Obrigações por Empréstimos "," "," "," "
2.01.07," Obrigações por Repasse do País "," "," "," "
2.01.08," Obrigações por Repasse do Exterior "," "," "," "
2.01.09," Outras Obrigações "," 408 "," 591 "," 2833 "
2.01.09.01," Obrigações Fiscais - Correntes "," 83 "," 322 "," 2436 "
2.01.09.02," Diversas "," 325 "," 269 "," 397 "
2.02," Passivo Exigível a Longo Prazo "," 46746 "," 142011 "," 133973 "
2.02.01," Depósitos "," "," "," "
2.02.01.01," Depósitos Interfinanceiros "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.02.04," Relações Interfinanceiras "," "," "," "
2.02.05," Relações Interdependências "," "," "," "
2.02.06," Obrigações por Empréstimos "," "," "," "
2.02.07," Obrigações por Repasse do País "," "," "," "
2.02.08," Obrigações por Repasse do Exterior "," "," "," "
2.02.09," Outras Obrigações "," 46746 "," 142011 "," 133973 "
2.02.09.01," Provisões "," 45880 "," 63809 "," 55771 "
2.02.09.02," Obrigações Fiscais - Diferidos "," 866 "," 78202 "," 78202 "
2.03," Resultados de Exercícios Futuros "," "," "," "
2.05," Patrimônio Líquido "," 226586 "," 199982 "," 205531 "
2.05.01," Capital Social Realizado "," 356735 "," 356735 "," 356735 "
2.05.02," Reservas de Capital "," "," "," "
2.05.03," Reservas de Reavaliação "," "," "," "
2.05.03.01," Ativos Próprios "," "," "," "
2.05.03.02," Controladas/Coligadas e Equiparadas "," "," "," "
2.05.04," Reservas de Lucro "," "," "," "
2.05.04.01," Legal "," "," "," "
2.05.04.02," Estatutária "," "," "," "
2.05.04.03," Para Contingências "," "," "," "
2.05.04.04," De Lucros a Realizar "," "," "," "
2.05.04.05," Retenção de Lucros "," "," "," "
2.05.04.06," Especial p/ Dividendos Não Distribuídos "," "," "," "
2.05.04.07," Outras Reservas de Lucro "," "," "," "
2.05.05," Ajustes de Avaliação Patrimonial "," "," "," "
2.05.05.01," Ajustes de Títulos e Valores Mobiliários "," "," "," "
2.05.05.02," Ajustes Acumulados de Conversão "," "," "," "
2.05.05.03," Ajustes de Combinação de Negócios "," "," "," "
2.05.06," Lucros/Prejuízos Acumulados "," -130149 "," -156753 "," -151204 "
