Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 14640589 "," 13190858 "," 11939604 "
2.01," Passivo Circulante "," 1397171 "," 1448859 "," 1291383 "
2.01.01," Obrigações Sociais e Trabalhistas "," 117893 "," 181369 "," 119454 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 117893 "," 181369 "," 119454 "
2.01.02," Fornecedores "," 269397 "," 209428 "," 214445 "
2.01.02.01," Fornecedores Nacionais "," 269397 "," 209428 "," 214445 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 84602 "," 72691 "," 100770 "
2.01.03.01," Obrigações Fiscais Federais "," 81786 "," 70190 "," 98182 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 0 "," 0 "," 21354 "
2.01.03.01.02," Demais Tributos Federais "," 81786 "," 70190 "," 76828 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 2816 "," 2501 "," 2588 "
2.01.04," Empréstimos e Financiamentos "," 407680 "," 521505 "," 357213 "
2.01.04.01," Empréstimos e Financiamentos "," 220336 "," 275978 "," 138322 "
2.01.04.01.01," Em Moeda Nacional "," 207623 "," 275978 "," 138322 "
2.01.04.01.02," Em Moeda Estrangeira "," 12713 "," 0 "," 0 "
2.01.04.02," Debêntures "," 116418 "," 191146 "," 160754 "
2.01.04.03," Financiamento por Arrendamento "," 70926 "," 54381 "," 58137 "
2.01.05," Outras Obrigações "," 343711 "," 298226 "," 323640 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 343711 "," 298226 "," 323640 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 243551 "," 206236 "," 229341 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contratos de Concessão "," 0 "," 0 "," 31414 "
2.01.05.02.05," Cauções e Retenções Contratuais "," 2210 "," 2307 "," 2189 "
2.01.05.02.06," Títulos a Pagar "," "," "," "
2.01.05.02.07," Receitas a Apropriar "," 700 "," 4200 "," 4200 "
2.01.05.02.08," Instrumentos Financeiros Derivativos "," 11606 "," 8184 "," 0 "
2.01.05.02.09," Outras Contas a Pagar "," 85644 "," 77299 "," 56496 "
2.01.06," Provisões "," 173888 "," 165640 "," 175861 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 173888 "," 165640 "," 175861 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões para Plano de Aposentadoria e Assistência Médica "," 77341 "," 78090 "," 82440 "
2.01.06.02.05," Provisões Trabalhistas "," 96547 "," 87550 "," 93421 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 5417076 "," 4798836 "," 4474307 "
2.02.01," Empréstimos e Financiamentos "," 3712885 "," 3126083 "," 2723218 "
2.02.01.01," Empréstimos e Financiamentos "," 1519154 "," 1450794 "," 1266244 "
2.02.01.01.01," Em Moeda Nacional "," 1519154 "," 1442160 "," 1264205 "
