Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 66119878 "," 49106884 "," 0 "
2.01," Passivo Circulante "," 12913717 "," 14405951 "," 0 "
2.01.01," Obrigações Sociais e Trabalhistas "," 165074 "," 133429 "," 0 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 165074 "," 133429 "," 0 "
2.01.01.02.01," Obrigações estimadas com pessoal "," 165074 "," 133429 "," 0 "
2.01.02," Fornecedores "," 4269598 "," 3909517 "," 0 "
2.01.02.01," Fornecedores Nacionais "," 4269598 "," 3909517 "," 0 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1175276 "," 965222 "," 0 "
2.01.03.01," Obrigações Fiscais Federais "," 492055 "," 385401 "," 0 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 288412 "," 91470 "," 0 "
2.01.03.01.02," Outros impostos a pagar "," 203643 "," 293931 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," 669830 "," 568598 "," 0 "
2.01.03.03," Obrigações Fiscais Municipais "," 13391 "," 11223 "," 0 "
2.01.03.03.01," Outros Municipais "," 13391 "," 11223 "," 0 "
2.01.04," Empréstimos e Financiamentos "," 4034836 "," 3988465 "," 0 "
2.01.04.01," Empréstimos e Financiamentos "," 2246711 "," 2797195 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 1058273 "," 325272 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," 1188438 "," 2471923 "," 0 "
2.01.04.02," Debêntures "," 1788125 "," 1191270 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 3266887 "," 5389372 "," 0 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 2409545 "," 0 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," 0 "," 2409545 "," 0 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 3266887 "," 2979827 "," 0 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 100478 "," 906852 "," 0 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Derivativos "," 5067 "," 1354 "," 0 "
2.01.05.02.05," Passivo financeiro setorial "," 0 "," 41514 "," 0 "
2.01.05.02.06," Uso do bem público "," 16212 "," 12573 "," 0 "
2.01.05.02.07," Outras contas a pagar "," 1930304 "," 1709360 "," 0 "
2.01.05.02.08," Taxas regulamentares "," 551966 "," 108371 "," 0 "
2.01.05.02.09," Entidade de previdência privada "," 604254 "," 199803 "," 0 "
2.01.05.02.10," PIS/COFINS devolução consumidores "," 58606 "," 0 "," 0 "
2.01.06," Provisões "," 2046 "," 19946 "," 0 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 2046 "," 19946 "," 0 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," 2046 "," 19946 "," 0 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 36400283 "," 20465155 "," 0 "
2.02.01," Empréstimos e Financiamentos "," 18381035 "," 14881872 "," 0 "
2.02.01.01," Empréstimos e Financiamentos "," 12216158 "," 8624840 "," 0 "
2.02.01.01.01," Em Moeda Nacional "," 6285977 "," 3069972 "," 0 "
2.02.01.01.02," Em Moeda Estrangeira "," 5930181 "," 5554868 "," 0 "
2.02.01.02," Debêntures "," 6164877 "," 6257032 "," 0 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 15872527 "," 4014385 "," 0 "
2.02.02.01," Passivos com Partes Relacionadas "," 2518150 "," 0 "," 0 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 13354377 "," 4014385 "," 0 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Fornecedores "," 408082 "," 456658 "," 0 "
