Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2424966 "," 2424403 "," 1975317 "
2.01," Passivo Circulante "," 595906 "," 624172 "," 331808 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 173997 "," 180176 "," 109352 "
2.01.02.01," Fornecedores Nacionais "," 173997 "," 180176 "," 109352 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 224920 "," 249219 "," 56715 "
2.01.04.01," Empréstimos e Financiamentos "," 164390 "," 215862 "," 25462 "
2.01.04.01.01," Em Moeda Nacional "," 164390 "," 19316 "," 25462 "
2.01.04.01.02," Em Moeda Estrangeira "," 0 "," 196546 "," 0 "
2.01.04.02," Debêntures "," 60530 "," 33357 "," 31253 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 196989 "," 194777 "," 165741 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 196989 "," 194777 "," 165741 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos e Dívidas "," 21013 "," 14260 "," 10732 "
2.01.05.02.05," Impostos e Contribuições Sociais "," 53344 "," 49170 "," 46979 "
2.01.05.02.06," Parcelamento de impostos "," "," "," "
2.01.05.02.07," Benefícios pós emprego "," 11265 "," 9403 "," 11833 "
