Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 9812277 "," 10216065 "," 10117669 "
2.01," Passivos Financeiros Avaliados ao Valor Justo através do Resultado "," "," "," "
2.02," Passivos Financeiros ao Custo Amortizado "," 6011869 "," 6181807 "," 6016001 "
2.02.01," Depósitos "," "," "," "
2.02.01.01," Depósitos Interfinanceiros "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.03," Recursos Mercado Interfinanceiro "," 6011869 "," 6181807 "," 6016001 "
2.02.03.01," Recursos de Instituições Financeiras - FINAME "," 576925 "," 263 "," 936 "
2.02.03.02," Recursos de Debêntures "," 5434944 "," 6181544 "," 6015065 "
2.02.04," Outras Captações "," "," "," "
2.03," Provisões "," 116540 "," 164751 "," 168330 "
2.03.01," Provisões para Contingências "," 116540 "," 164751 "," 168330 "
2.04," Passivos Fiscais "," 320742 "," 286130 "," 295595 "
2.04.01," Impostos Diferidos "," 320742 "," 286130 "," 295595 "
2.05," Outros Passivos "," 79016 "," 110348 "," 234813 "
2.06," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.06.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.06.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.07," Patrimônio Líquido "," 3284110 "," 3473029 "," 3402930 "
2.07.01," Capital Social Realizado "," 2312267 "," 2312267 "," 2312267 "
2.07.02," Reservas de Capital "," "," "," "
2.07.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.02.04," Opções Outorgadas "," "," "," "
2.07.02.05," Ações em Tesouraria "," "," "," "
2.07.03," Reservas de Reavaliação "," "," "," "
2.07.04," Reservas de Lucros "," 971857 "," 1160851 "," 1090663 "
2.07.04.01," Reserva Legal "," 293657 "," 293657 "," 289054 "
2.07.04.02," Reserva Estatutária "," 678200 "," 867194 "," 801609 "
2.07.04.03," Reserva para Contingências "," "," "," "
2.07.04.04," Reserva de Lucros a Realizar "," "," "," "
2.07.04.05," Reserva de Retenção de Lucros "," "," "," "
2.07.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.07.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.07.04.08," Dividendo Adicional Proposto "," "," "," "
2.07.04.09," Ações em Tesouraria "," "," "," "
2.07.05," Lucros/Prejuízos Acumulados "," "," "," "
2.07.06," Ajustes de Avaliação Patrimonial "," -14 "," -89 "," 0 "
2.07.07," Ajustes Acumulados de Conversão "," "," "," "
2.07.08," Outros Resultados Abrangentes "," "," "," "
