Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 18125705 "," 16170479 "," 15288641 "
2.01," Passivo Circulante "," 1928021 "," 2140839 "," 1560720 "
2.01.01," Obrigações Sociais e Trabalhistas "," 79289 "," 70982 "," 76637 "
2.01.01.01," Obrigações Sociais "," 79289 "," 70982 "," 76637 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 162911 "," 131770 "," 134023 "
2.01.02.01," Fornecedores Nacionais "," 162911 "," 131770 "," 134023 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 73007 "," 93132 "," 82024 "
2.01.03.01," Obrigações Fiscais Federais "," 73007 "," 76323 "," 64843 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 19209 "," 29011 "," 38042 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 53798 "," 47312 "," 26801 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 0 "," 16809 "," 17181 "
2.01.04," Empréstimos e Financiamentos "," 1016596 "," 1283681 "," 725815 "
2.01.04.01," Empréstimos e Financiamentos "," 568814 "," 1072814 "," 467640 "
2.01.04.01.01," Em Moeda Nacional "," 289209 "," 551532 "," 264115 "
2.01.04.01.02," Em Moeda Estrangeira "," 279605 "," 521282 "," 203525 "
2.01.04.02," Debêntures "," 447782 "," 210867 "," 258175 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 282075 "," 194726 "," 209694 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 0 "," 1 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 0 "," 0 "," 1 "
2.01.05.02," Outros "," 282075 "," 194726 "," 209693 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Cauções Contratuais "," "," "," "
2.01.05.02.05," Outras Contas a Pagar "," 123916 "," 41285 "," 72245 "
2.01.05.02.06," Cauções Contratuais "," 95997 "," 90901 "," 95947 "
2.01.05.02.07," Credores pela Concessão "," 2368 "," 2067 "," 3384 "
2.01.05.02.08," Taxa de fiscalização "," 6225 "," 5787 "," 5632 "
2.01.05.02.09," Risco sacado "," 10778 "," 0 "," 0 "
2.01.05.02.10," Contas a pagar com operações de derivativos "," 12536 "," 24564 "," 1008 "
2.01.05.02.11," Arrendamento mercantil a pagar (IFRS16 / CPC 06 (R2)) "," 30255 "," 30122 "," 31477 "
2.01.06," Provisões "," 314143 "," 366548 "," 332527 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 314143 "," 366548 "," 332527 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões para Manutenção em Rodovias "," 218822 "," 285884 "," 255918 "
2.01.06.02.05," Provisões para Investimentos em Rodovias "," 95321 "," 80664 "," 76609 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 9733298 "," 7656687 "," 7306779 "
