Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 97842023 "," 35760824 "," 32865140 "
2.01," Passivo Circulante "," 12957036 "," 6415113 "," 6166076 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 3253504 "," 1875192 "," 1676725 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 607444 "," 741415 "," 767985 "
2.01.03.01," Obrigações Fiscais Federais "," 607444 "," 741415 "," 767985 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 71224 "," 374339 "," 416090 "
2.01.03.01.02," Outros tributos a pagar "," 536220 "," 367076 "," 351895 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 4647188 "," 2372523 "," 2380782 "
2.01.04.01," Empréstimos e Financiamentos "," 4241368 "," 2352057 "," 2373199 "
2.01.04.01.01," Em Moeda Nacional "," 3392950 "," 1321519 "," 1910150 "
2.01.04.01.02," Em Moeda Estrangeira "," 848418 "," 1030538 "," 463049 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 405820 "," 20466 "," 7583 "
2.01.05," Outras Obrigações "," 4448900 "," 1425983 "," 1340584 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 4448900 "," 1425983 "," 1340584 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 799634 "," 285177 "," 590204 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
