Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 28277872 "," 26397266 "," 0 "
2.01," Passivo Circulante "," 6688727 "," 7216957 "," 0 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 2154037 "," 3439767 "," 0 "
2.01.02.01," Fornecedores Nacionais "," 2154037 "," 3439767 "," 0 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 383600 "," 168743 "," 0 "
2.01.03.01," Obrigações Fiscais Federais "," 383600 "," 168743 "," 0 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Tributos e Contribuições "," 383600 "," 168743 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1933663 "," 2350555 "," 0 "
2.01.04.01," Empréstimos e Financiamentos "," 403230 "," 1320026 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 394852 "," 461322 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," 8378 "," 858704 "," 0 "
2.01.04.02," Debêntures "," 1530433 "," 1030529 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 2217427 "," 1257892 "," 0 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 2217427 "," 1257892 "," 0 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 94512 "," 164332 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrigações trabalhistas "," 104492 "," 90914 "," 0 "
2.01.05.02.05," Outros Débitos "," 571934 "," 383700 "," 0 "
2.01.05.02.06," Beneficios Pós - Emprego "," "," "," "
2.01.05.02.07," Passivos financeiros do setor "," 276353 "," 0 "," 0 "
2.01.05.02.08," Instrumentos financeiros derivativos swap "," "," "," "
2.01.05.02.09," Obrigações por arrendamento "," 25108 "," 47228 "," 0 "
2.01.05.02.10," Valores a serem restituídos a consumidores "," 831250 "," 296239 "," 0 "
2.01.05.02.11," Encargos regulatórios "," 313778 "," 275479 "," 0 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
