Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 9945025 "," 5146406 "," 3535927 "
2.01," Passivo Circulante "," 3319550 "," 2040031 "," 705552 "
2.01.01," Obrigações Sociais e Trabalhistas "," 289289 "," 211603 "," 193472 "
2.01.01.01," Obrigações Sociais "," 21923 "," 17070 "," 13590 "
2.01.01.02," Obrigações Trabalhistas "," 267366 "," 194533 "," 179882 "
2.01.02," Fornecedores "," 112579 "," 99305 "," 63821 "
2.01.02.01," Fornecedores Nacionais "," 104872 "," 96393 "," 60609 "
2.01.02.02," Fornecedores Estrangeiros "," 7707 "," 2912 "," 3212 "
2.01.03," Obrigações Fiscais "," 96790 "," 74558 "," 55203 "
2.01.03.01," Obrigações Fiscais Federais "," 87298 "," 66548 "," 45501 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," 386 "," 288 "," 114 "
2.01.03.03," Obrigações Fiscais Municipais "," 9106 "," 7722 "," 9588 "
2.01.04," Empréstimos e Financiamentos "," 542294 "," 146806 "," 258596 "
2.01.04.01," Empréstimos e Financiamentos "," 103740 "," 101525 "," 6363 "
2.01.04.01.01," Em Moeda Nacional "," 103740 "," 101525 "," 6363 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 385988 "," 0 "," 202973 "
2.01.04.03," Financiamento por Arrendamento "," 52566 "," 45281 "," 49260 "
2.01.05," Outras Obrigações "," 2278598 "," 1507759 "," 134460 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 2278598 "," 1507759 "," 134460 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 80153 "," 57687 "," 44579 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrigações por Aquisição de Investimentos "," 153839 "," 44781 "," 32554 "
2.01.05.02.05," Comissões a Pagar "," 59635 "," 53795 "," 46035 "
