Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 3754136 "," 2824635 "," 1945403 "
2.01," Passivo Circulante "," 1937651 "," 1370932 "," 1178943 "
2.01.01," Obrigações Sociais e Trabalhistas "," 38387 "," 33263 "," 20281 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 38387 "," 33263 "," 20281 "
2.01.02," Fornecedores "," 1186214 "," 562210 "," 383964 "
2.01.02.01," Fornecedores Nacionais "," 280741 "," 206422 "," 196025 "
2.01.02.02," Fornecedores Estrangeiros "," 905473 "," 355788 "," 187939 "
2.01.03," Obrigações Fiscais "," 52814 "," 32037 "," 24035 "
2.01.03.01," Obrigações Fiscais Federais "," 40831 "," 27643 "," 19004 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 195 "," 2603 "," 350 "
2.01.03.01.02," Outros Impostos e Contribuições Federais "," 40636 "," 25040 "," 18654 "
2.01.03.02," Obrigações Fiscais Estaduais "," 11983 "," 4394 "," 5031 "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 400196 "," 461373 "," 601728 "
2.01.04.01," Empréstimos e Financiamentos "," 321988 "," 461373 "," 601728 "
2.01.04.01.01," Em Moeda Nacional "," 266257 "," 398338 "," 141178 "
2.01.04.01.02," Em Moeda Estrangeira "," 55731 "," 63035 "," 460550 "
2.01.04.02," Debêntures "," 78208 "," 0 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 95975 "," 135275 "," 57980 "
2.01.05.01," Passivos com Partes Relacionadas "," 745 "," 1213 "," 763 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 745 "," 1213 "," 763 "
2.01.05.02," Outros "," 95230 "," 134062 "," 57217 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 47611 "," 48609 "," 4560 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Receita Diferida "," 5753 "," 7492 "," 8344 "
2.01.05.02.05," Partes Relacionadas "," "," "," "
2.01.05.02.06," Instrumentos Financeiros Derivativos "," 0 "," 8727 "," 14584 "
2.01.05.02.07," Outras Contas a Pagar "," 32751 "," 59942 "," 22309 "
2.01.05.02.08," Arrendamento Mercantil "," 9115 "," 9292 "," 7420 "
2.01.06," Provisões "," 164065 "," 146774 "," 90955 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 5985 "," 5412 "," 4592 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 5985 "," 5412 "," 4592 "
2.01.06.02," Outras Provisões "," 158080 "," 141362 "," 86363 "
2.01.06.02.01," Provisões para Garantias "," 50282 "," 49974 "," 46568 "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para VPC "," 15595 "," 15025 "," 11774 "
2.01.06.02.05," Provisão para Comissões "," 23757 "," 20568 "," 10152 "
2.01.06.02.06," Provisão para Rebate "," 23581 "," 20082 "," 2154 "
2.01.06.02.07," Provisão para Royalties "," 7160 "," 2516 "," 3197 "
2.01.06.02.08," Provisão para Investimento em P&D "," 30271 "," 21277 "," 9057 "
2.01.06.02.09," Outras Provisões "," 7434 "," 11920 "," 3461 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 634824 "," 420565 "," 231568 "
2.02.01," Empréstimos e Financiamentos "," 500406 "," 301561 "," 110396 "
2.02.01.01," Empréstimos e Financiamentos "," 331656 "," 301561 "," 110396 "
2.02.01.01.01," Em Moeda Nacional "," 331656 "," 301561 "," 110396 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 168750 "," 0 "," 0 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 47969 "," 65201 "," 71250 "
2.02.02.01," Passivos com Partes Relacionadas "," 3440 "," 4393 "," 5943 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," 3440 "," 4393 "," 5943 "
2.02.02.02," Outros "," 44529 "," 60808 "," 65307 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Passivo a Descoberto em Controladas "," 475 "," 457 "," 459 "
2.02.02.02.04," Outras Contas a Pagar "," 17529 "," 28512 "," 29135 "
2.02.02.02.05," Arrendamento Mercantil "," 26525 "," 31839 "," 35713 "
2.02.03," Tributos Diferidos "," 654 "," 0 "," 0 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 85795 "," 53803 "," 49922 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 39584 "," 34497 "," 30600 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisões para Riscos Tributários, Trabalhistas e Cíveis "," 39584 "," 34497 "," 30600 "
2.02.04.01.06," Outras Provisões "," "," "," "
2.02.04.02," Outras Provisões "," 46211 "," 19306 "," 19322 "
2.02.04.02.01," Provisões para Garantias "," 46211 "," 19306 "," 19322 "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 1181661 "," 1033138 "," 534892 "
2.03.01," Capital Social Realizado "," 721670 "," 721670 "," 389000 "
2.03.02," Reservas de Capital "," 98811 "," 106086 "," 106789 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," -21128 "," -13325 "," -12501 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reserva de Capital "," 119939 "," 119411 "," 119290 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 361419 "," 211233 "," 68687 "
2.03.04.01," Reserva Legal "," 0 "," 0 "," 81 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 361419 "," 211233 "," 68606 "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," -10069 "," -17075 "," -37452 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 9830 "," 11224 "," 7868 "
