Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1556408 "," 1743807 "," 1718538 "
2.01," Passivo Circulante "," 244539 "," 299867 "," 351773 "
2.01.01," Obrigações Sociais e Trabalhistas "," 17404 "," 14586 "," 15957 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 17404 "," 14586 "," 15957 "
2.01.02," Fornecedores "," 9814 "," 8116 "," 11761 "
2.01.02.01," Fornecedores Nacionais "," 9814 "," 8116 "," 11761 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 5613 "," 7236 "," 7470 "
2.01.03.01," Obrigações Fiscais Federais "," 5613 "," 7236 "," 7470 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 2165 "," 2495 "," 1104 "
2.01.03.01.02," Imposto de Renda e Contribuição Social Diferidos "," 1119 "," 2084 "," 3565 "
2.01.03.01.03," Impostos e contribuições a recolher "," 2329 "," 2657 "," 2801 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 41881 "," 51568 "," 110963 "
2.01.04.01," Empréstimos e Financiamentos "," 10521 "," 29729 "," 82451 "
2.01.04.01.01," Em Moeda Nacional "," 10521 "," 29729 "," 82451 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 31360 "," 21839 "," 28512 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 169827 "," 218361 "," 205622 "
2.01.05.01," Passivos com Partes Relacionadas "," 120921 "," 116332 "," 104598 "
2.01.05.01.01," Débitos com Coligadas "," 28675 "," 26700 "," 25578 "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 92246 "," 89632 "," 79020 "
2.01.05.02," Outros "," 48906 "," 102029 "," 101024 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamentos de clientes "," 22537 "," 7252 "," 7200 "
2.01.05.02.05," Contas a pagar por aquisição de imóveis "," 1790 "," 59011 "," 53685 "
2.01.05.02.06," Aquisição de participação societária a pagar "," 11882 "," 11696 "," 11495 "
2.01.05.02.07," Outras contas a pagar/Provisão para plano de incentivo a longo prazo "," 12697 "," 24070 "," 28644 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 650635 "," 652668 "," 420110 "
2.02.01," Empréstimos e Financiamentos "," 519600 "," 467554 "," 237347 "
2.02.01.01," Empréstimos e Financiamentos "," 16637 "," 145963 "," 196629 "
2.02.01.01.01," Em Moeda Nacional "," 16637 "," 145963 "," 196629 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 502963 "," 321591 "," 40718 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 64246 "," 73372 "," 34148 "
2.02.02.01," Passivos com Partes Relacionadas "," 1635 "," 3917 "," 3601 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
