Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 207109116 "," 163801806 "," 126339387 "
2.01," Passivo Circulante "," 59812238 "," 40835231 "," 28457692 "
2.01.01," Obrigações Sociais e Trabalhistas "," 6963119 "," 5677401 "," 4051824 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 32905175 "," 24298442 "," 17450306 "
2.01.02.01," Fornecedores Nacionais "," 31157221 "," 22711154 "," 16403085 "
2.01.02.01.01," Fornecedores Nacionais "," 28543166 "," 20625396 "," 14416432 "
2.01.02.01.02," Fornecedores Nacionais Risco Sacado "," 2687974 "," 2101001 "," 2011463 "
2.01.02.01.03," Ajuste a Valor Presente "," -73919 "," -15243 "," -24810 "
2.01.02.02," Fornecedores Estrangeiros "," 1747954 "," 1587288 "," 1047221 "
2.01.02.02.01," Fornecedores Estrangeiros "," "," "," "
2.01.02.02.02," Fornecedores Estrangeiros Risco Sacado "," "," "," "
2.01.03," Obrigações Fiscais "," 1732991 "," 883053 "," 943640 "
2.01.03.01," Obrigações Fiscais Federais "," 1273072 "," 514298 "," 606795 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 988897 "," 206433 "," 384594 "
2.01.03.01.02," Outras Obrigações Fiscais e Federais "," 284175 "," 307865 "," 222201 "
2.01.03.02," Obrigações Fiscais Estaduais "," 451937 "," 362925 "," 333174 "
2.01.03.03," Obrigações Fiscais Municipais "," 7982 "," 5830 "," 3671 "
2.01.04," Empréstimos e Financiamentos "," 11914284 "," 4562101 "," 2078899 "
2.01.04.01," Empréstimos e Financiamentos "," 11914284 "," 4562101 "," 2078899 "
2.01.04.01.01," Em Moeda Nacional "," 4511161 "," 2932439 "," 1481228 "
2.01.04.01.02," Em Moeda Estrangeira "," 7403123 "," 1629662 "," 597671 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 4958247 "," 5414234 "," 3933023 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 4958247 "," 5414234 "," 3933023 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Compromissos com Terceiros para Investimentos "," 37187 "," 45622 "," 45709 "
2.01.05.02.05," Outros Passivos Circulantes "," 2521736 "," 2694773 "," 1246978 "
2.01.05.02.06," Dividendos Declarados "," 156 "," 1093230 "," 1442581 "
2.01.05.02.07," Derivativos a Pagar "," 773279 "," 287536 "," 251964 "
2.01.05.02.08," Arrendamento a Pagar "," 1625889 "," 1293073 "," 945791 "
