Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6743747 "," 3791938 "," 4200389 "
2.01," Passivo Circulante "," 2232518 "," 2164996 "," 4446965 "
2.01.01," Obrigações Sociais e Trabalhistas "," 116600 "," 71716 "," 80817 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 116600 "," 71716 "," 80817 "
2.01.02," Fornecedores "," 576912 "," 716139 "," 606297 "
2.01.02.01," Fornecedores Nacionais "," 576912 "," 716139 "," 606297 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 292760 "," 490762 "," 2823944 "
2.01.03.01," Obrigações Fiscais Federais "," 159300 "," 52480 "," 114799 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 154 "," 9 "," 9 "
2.01.03.01.02," Contribuição ao Instituto Nacional de Seguridade Social - INSS "," 3002 "," 1721 "," 2706 "
2.01.03.01.03," Contribuição para Financiamento da Seguridade Social - COFINS "," 97010 "," 12546 "," 58623 "
2.01.03.01.04," Contribuição ao Programa de Integração Social - PIS/PASEP "," 20891 "," 2690 "," 12643 "
2.01.03.01.05," Parcelamento PIS/COFINS "," 34482 "," 33356 "," 38690 "
2.01.03.01.07," IRRF - Imposto de Renda Retido na Fonte "," 452 "," 327 "," 150 "
2.01.03.01.08," Outros "," 3309 "," 1831 "," 1978 "
2.01.03.02," Obrigações Fiscais Estaduais "," 133460 "," 438282 "," 2709145 "
2.01.03.02.01," Imposto sobre Circulação de Mercadoria e Serviços-ICMS "," 64452 "," 226168 "," 2684719 "
2.01.03.02.02," Parcelamento ICMS "," 69008 "," 212114 "," 24426 "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 625662 "," 161543 "," 67079 "
2.01.04.01," Empréstimos e Financiamentos "," 566018 "," 147067 "," 54312 "
2.01.04.01.01," Em Moeda Nacional "," 186763 "," 83141 "," 2022 "
2.01.04.01.02," Em Moeda Estrangeira "," 379255 "," 63926 "," 52290 "
2.01.04.02," Debêntures "," 39178 "," 0 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," 20466 "," 14476 "," 12767 "
2.01.05," Outras Obrigações "," 338098 "," 629607 "," 812625 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 338098 "," 629607 "," 812625 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos setoriais "," 103253 "," 230665 "," 275902 "
2.01.05.02.05," Outras contas a pagar "," 149712 "," 223302 "," 357967 "
2.01.05.02.06," Instrumentos financeiro derivativos "," 5069 "," 0 "," 0 "
2.01.05.02.07," Plano de aposentadoria e pensão "," 80064 "," 175640 "," 178756 "
2.01.06," Provisões "," 282486 "," 95229 "," 56203 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 282486 "," 95229 "," 56203 "
2.01.06.01.01," Provisões Fiscais "," 497 "," 0 "," 0 "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 68246 "," 65836 "," 29412 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," 213743 "," 29393 "," 26791 "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 7169069 "," 7369836 "," 3620908 "
2.02.01," Empréstimos e Financiamentos "," 2571419 "," 1133966 "," 763891 "
2.02.01.01," Empréstimos e Financiamentos "," 1052891 "," 1110059 "," 730109 "
2.02.01.01.01," Em Moeda Nacional "," 513644 "," 239828 "," 10136 "
