Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 63044000 "," 49917785 "," 33282334 "
2.01," Passivos Financeiros Avaliados ao Valor Justo através do Resultado "," 9071836 "," 5596048 "," 3699073 "
2.01.01," Obrigações por Emissões, Empréstimos e Repasses no Exterior "," 8864248 "," 5537984 "," 3592806 "
2.01.02," Derivativos "," 207588 "," 58064 "," 106267 "
2.02," Passivos Financeiros ao Custo Amortizado "," 40880097 "," 33482302 "," 20879811 "
2.02.01," Depósitos "," 17279244 "," 14027469 "," 8319811 "
2.02.01.01," Depósitos à Vista e Outros Depósitos "," 1547339 "," 1681810 "," 1097735 "
2.02.01.02," Depósitos a Prazo e Interfinanceiros "," 15731905 "," 12345659 "," 7222076 "
2.02.02," Captações no Mercado Aberto "," 2474519 "," 1951672 "," 192448 "
2.02.03," Recursos Mercado Interfinanceiro "," "," "," "
2.02.04," Outras Captações "," 21126334 "," 17503161 "," 12367552 "
2.02.04.01," Letras de Crédito Imobiliário "," 1464756 "," 825182 "," 845898 "
2.02.04.02," Letras de Crédito do Agronegócio "," 2390246 "," 1364279 "," 783281 "
2.02.04.03," Letras Financeiras "," 14668532 "," 13784639 "," 9219903 "
2.02.04.05," Obrigações por Empréstimos e Repasses - no País "," 195571 "," 164850 "," 225216 "
2.02.04.06," Obrigações por Empréstimos e Repasses - no Exterior "," 2406653 "," 1352440 "," 1256460 "
2.02.04.07," Obrigações por Venda e Transferência de Ativos Financeiros "," 576 "," 11771 "," 36794 "
2.03," Provisões "," 3236852 "," 2975935 "," 2645626 "
2.03.01," Provisões para Riscos Cíveis e Trabalhistas "," 173919 "," 243164 "," 258769 "
2.03.02," Provisões para Compromissos e Outras Provisões "," 1249143 "," 1075411 "," 856192 "
2.03.03," Provisões para Riscos Fiscais "," 1813790 "," 1657360 "," 1530665 "
2.04," Passivos Fiscais "," 563493 "," 369981 "," 266897 "
2.05," Outros Passivos "," 4185943 "," 2943492 "," 1961708 "
2.05.01," Obrigações de Arrendamento "," 22203 "," 33962 "," 44866 "
2.05.02," Outros Passivos e Obrigações "," 4163740 "," 2909530 "," 1916842 "
2.06," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.06.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.06.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.07," Patrimônio Líquido "," 5105779 "," 4550027 "," 3829219 "
2.07.01," Patrimônio Líquido Atribuído ao Controlador "," 5104723 "," 4548997 "," 3828205 "
2.07.01.01," Capital Social Realizado "," 3557260 "," 3557260 "," 2253595 "
2.07.01.02," Reservas de Capital "," 1125 "," 279 "," 1142 "
2.07.01.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.01.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.01.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.01.02.04," Opções Outorgadas "," "," "," "
2.07.01.02.05," Ações em Tesouraria "," "," "," "
2.07.01.03," Reservas de Reavaliação "," "," "," "
2.07.01.04," Reservas de Lucros "," 1546782 "," 1003911 "," 1573664 "
2.07.01.04.01," Reserva Legal "," 129841 "," 59131 "," 254751 "
2.07.01.04.02," Reserva Estatutária "," 1416941 "," 944780 "," 1193647 "
2.07.01.04.03," Reserva para Contingências "," "," "," "
2.07.01.04.04," Reserva de Lucros a Realizar "," "," "," "
2.07.01.04.05," Reserva de Retenção de Lucros "," "," "," "
2.07.01.04.06," Reserva Especial para Dividendos Não Distribuídos "," 0 "," 0 "," 125266 "
2.07.01.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.07.01.04.08," Dividendo Adicional Proposto "," "," "," "
2.07.01.04.09," Ações em Tesouraria "," "," "," "
2.07.01.05," Lucros/Prejuízos Acumulados "," "," "," "
2.07.01.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.07.01.07," Ajustes Acumulados de Conversão "," "," "," "
2.07.01.08," Outros Resultados Abrangentes "," -444 "," -12453 "," -196 "
2.07.02," Patrimônio Líquido Atribuído aos Não Controladores "," 1056 "," 1030 "," 1014 "
