Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4306710 "," 4354640 "," 4627984 "
2.01," Passivo Circulante "," 846822 "," 1017436 "," 1017002 "
2.01.01," Obrigações Sociais e Trabalhistas "," 9155 "," 8194 "," 8647 "
2.01.01.01," Obrigações Sociais "," 1809 "," 1492 "," 4193 "
2.01.01.02," Obrigações Trabalhistas "," 7346 "," 6702 "," 4454 "
2.01.02," Fornecedores "," 54063 "," 62615 "," 58408 "
2.01.02.01," Fornecedores Nacionais "," 54063 "," 62615 "," 58408 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 5161 "," 5581 "," 1884 "
2.01.03.01," Obrigações Fiscais Federais "," 5161 "," 5581 "," 1448 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 608 "," 1261 "," 1057 "
2.01.03.01.02," Imposto de Renda na Fonte a Recolher "," 4553 "," 4320 "," 391 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 0 "," 0 "," 436 "
2.01.04," Empréstimos e Financiamentos "," 435408 "," 460706 "," 478203 "
2.01.04.01," Empréstimos e Financiamentos "," 411725 "," 460659 "," 414556 "
2.01.04.01.01," Em Moeda Nacional "," 411725 "," 460659 "," 414556 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 23683 "," 47 "," 63647 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 335260 "," 469962 "," 455547 "
2.01.05.01," Passivos com Partes Relacionadas "," 75070 "," 82714 "," 37585 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 75070 "," 82714 "," 37585 "
2.01.05.02," Outros "," 260190 "," 387248 "," 417962 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 23980 "," 6298 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Dividendos Adicionais Propostos pela Administração "," "," "," "
2.01.05.02.05," Credores por Imóveis Compromissados "," 91003 "," 149016 "," 63832 "
2.01.05.02.06," Contas a Pagar "," 62284 "," 87508 "," 100901 "
2.01.05.02.07," Adiantamento de Clientes "," 82554 "," 143102 "," 252776 "
2.01.05.02.08," Aquisições de Participações Societárias "," 369 "," 1324 "," 453 "
2.01.05.02.09," Passivo a Descoberto "," "," "," "
2.01.06," Provisões "," 7775 "," 10378 "," 14313 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 7775 "," 10378 "," 13823 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 0 "," 0 "," 1758 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões Impostos e Contribuições Diferidos "," 7775 "," 10378 "," 12065 "
2.01.06.02," Outras Provisões "," 0 "," 0 "," 490 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
