Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 44518812 "," 22606775 "
2.01," Passivo Circulante "," 13336854 "," 5386842 "
2.01.01," Obrigações Sociais e Trabalhistas "," 308177 "," 75189 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 308177 "," 75189 "
2.01.01.02.01," Salários, encargos e contribuições "," 308177 "," 75189 "
2.01.02," Fornecedores "," 8646372 "," 4068103 "
2.01.02.01," Fornecedores Nacionais "," 8646372 "," 4068103 "
2.01.02.01.01," Fornecedores Nacionais "," 8646372 "," 4068103 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 231008 "," 102562 "
2.01.03.01," Obrigações Fiscais Federais "," 77307 "," 30512 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 7761 "," 4258 "
2.01.03.01.02," IPI "," 17264 "," 1254 "
2.01.03.01.03," PIS e Cofins "," 28056 "," 18295 "
2.01.03.01.04," Imposto de Renda Retido na Fonte "," 4091 "," 2365 "
2.01.03.01.05," Outros "," 20135 "," 4340 "
2.01.03.02," Obrigações Fiscais Estaduais "," 123051 "," 65042 "
2.01.03.02.01," Imposto sobre Circulação de Mercadorias Serviços - ICMS "," 123051 "," 65042 "
2.01.03.03," Obrigações Fiscais Municipais "," 30650 "," 7008 "
2.01.03.03.01," Imposto sobre Serviços - ISS "," 30650 "," 7008 "
2.01.04," Empréstimos e Financiamentos "," 1052914 "," 430955 "
2.01.04.01," Empréstimos e Financiamentos "," 946155 "," 429058 "
2.01.04.01.01," Em Moeda Nacional "," 855560 "," 409356 "
2.01.04.01.02," Em Moeda Estrangeira "," 90595 "," 19702 "
2.01.04.02," Debêntures "," 106759 "," 1897 "
2.01.04.02.01," Debêntures "," 106759 "," 1897 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 2973298 "," 654264 "
2.01.05.01," Passivos com Partes Relacionadas "," 11678 "," 113908 "
2.01.05.01.01," Débitos com Coligadas "," 11678 "," 2304 "
2.01.05.01.03," Débitos com Controladores "," 0 "," 111604 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 2961620 "," 540356 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Outras Obrigações "," 920542 "," 343795 "
2.01.05.02.05," Contas a Pagar - Combinação de Negócios "," 41761 "," 1234 "
2.01.05.02.06," Adiantamento Recebido de Clientes "," 724111 "," 104893 "
2.01.05.02.07," Passivo de arrendamento "," 766900 "," 90434 "
2.01.05.02.08," Dividendos e participações propostos "," 508306 "," 0 "
2.01.06," Provisões "," 125085 "," 55769 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 125085 "," 55769 "
2.01.06.01.01," Provisões Fiscais "," 79620 "," 0 "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 35915 "," 38875 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," 9550 "," 16894 "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 15270982 "," 7734227 "
2.02.01," Empréstimos e Financiamentos "," 11287837 "," 7331084 "
2.02.01.01," Empréstimos e Financiamentos "," 9245885 "," 6941946 "
2.02.01.01.01," Em Moeda Nacional "," 3202647 "," 3585414 "
2.02.01.01.02," Em Moeda Estrangeira "," 6043238 "," 3356532 "
2.02.01.02," Debêntures "," 2041952 "," 389138 "
2.02.01.02.01," Debêntures "," 2041952 "," 389138 "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 3247705 "," 297689 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 3247705 "," 297689 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Outras Obrigações "," 78104 "," 87569 "
2.02.02.02.04," Contas a Pagar - Combinação de Negócios "," 351180 "," 13210 "
2.02.02.02.05," Passivo de arrendamento "," 2818421 "," 195078 "
2.02.02.02.06," Provisão para perdas em investimentos "," 0 "," 1832 "
2.02.03," Tributos Diferidos "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "
2.02.04," Provisões "," 735440 "," 105454 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 735440 "," 105454 "
2.02.04.01.01," Provisões Fiscais "," 468128 "," 33241 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 211160 "," 46030 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," 56152 "," 26183 "
2.02.04.02," Outras Provisões "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "
2.03," Patrimônio Líquido Consolidado "," 15910976 "," 9485706 "
2.03.01," Capital Social Realizado "," 14882609 "," 12340651 "
2.03.02," Reservas de Capital "," 34866 "," 47140 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," 144590 "," 0 "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," "," "
2.03.02.05," Ações em Tesouraria "," -227604 "," 0 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Plano de Opção de Ações "," "," "
