Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1726089 "," 1693377 "," 1699421 "
2.01," Passivo Circulante "," 304513 "," 277345 "," 232543 "
2.01.01," Obrigações Sociais e Trabalhistas "," 2057 "," 10411 "," 1986 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 2057 "," 10411 "," 1986 "
2.01.02," Fornecedores "," 8756 "," 19982 "," 13592 "
2.01.02.01," Fornecedores Nacionais "," 8756 "," 19982 "," 13592 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 201262 "," 167335 "," 150690 "
2.01.03.01," Obrigações Fiscais Federais "," 201262 "," 167335 "," 150690 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Impostos, Taxas e Contribuições "," 172920 "," 149686 "," 132858 "
2.01.03.01.03," Impostos Parcelados "," 28342 "," 17649 "," 17832 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 13373 "," 24208 "," 20727 "
2.01.04.01," Empréstimos e Financiamentos "," 13373 "," 24208 "," 20727 "
2.01.04.01.01," Em Moeda Nacional "," 2277 "," 13876 "," 12712 "
2.01.04.01.02," Em Moeda Estrangeira "," 11096 "," 10332 "," 8015 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 79065 "," 55409 "," 45548 "
2.01.05.01," Passivos com Partes Relacionadas "," 41148 "," 35877 "," 26709 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 41148 "," 35877 "," 26709 "
2.01.05.02," Outros "," 37917 "," 19532 "," 18839 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas a Pagar "," "," "," "
2.01.05.02.05," Cédulas de Crédito Imobiliário - CCIs "," 24033 "," 14689 "," 13132 "
2.01.05.02.06," Outras Contas a Pagar "," 2894 "," 1186 "," 1416 "
2.01.05.02.07," Receitas de cessões a apropriar "," 6041 "," 3657 "," 4291 "
2.01.05.02.08," Contas a pagar na compra de terrenos "," 4949 "," 0 "," 0 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 2146617 "," 1884603 "," 1462507 "
2.02.01," Empréstimos e Financiamentos "," 1926297 "," 1704613 "," 1265610 "
2.02.01.01," Empréstimos e Financiamentos "," 1926297 "," 1704613 "," 1265610 "
2.02.01.01.01," Em Moeda Nacional "," 5684 "," 0 "," 8419 "
2.02.01.01.02," Em Moeda Estrangeira "," 1920613 "," 1704613 "," 1257191 "
2.02.01.02," Debêntures "," "," "," "
