Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2340065 "," 2176901 "," 1798507 "
2.01," Passivo Circulante "," 447358 "," 456727 "," 453647 "
2.01.01," Obrigações Sociais e Trabalhistas "," 9977 "," 12191 "," 10539 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 9977 "," 12191 "," 10539 "
2.01.02," Fornecedores "," 45693 "," 51292 "," 36353 "
2.01.02.01," Fornecedores Nacionais "," 45693 "," 51292 "," 36353 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 5569 "," 4418 "," 4224 "
2.01.03.01," Obrigações Fiscais Federais "," 5261 "," 4067 "," 4038 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 2534 "," 1882 "," 1819 "
2.01.03.01.02," Pis/Cofins "," 2242 "," 1843 "," 1738 "
2.01.03.01.03," Outras Obrigações Fiscais Federais "," 485 "," 342 "," 481 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 308 "," 351 "," 186 "
2.01.04," Empréstimos e Financiamentos "," 146092 "," 146368 "," 70972 "
2.01.04.01," Empréstimos e Financiamentos "," 93066 "," 135051 "," 59376 "
2.01.04.01.01," Em Moeda Nacional "," 93066 "," 135051 "," 59376 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 53026 "," 11317 "," 11596 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 240027 "," 242458 "," 331559 "
2.01.05.01," Passivos com Partes Relacionadas "," 4944 "," 3418 "," 7316 "
2.01.05.01.01," Débitos com Coligadas "," 4944 "," 3418 "," 7316 "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 235083 "," 239040 "," 324243 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
