Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 48139722 "," 38806445 "," 33179453 "
2.01," Passivos Financeiros ao Valor Justo através do Resultado "," 54669 "," 9261 "," 133583 "
2.01.01," Derivativos "," 54669 "," 9261 "," 133583 "
2.02," Outros Passivos Financeiros Designados ao Valor Justo através do Resultado "," "," "," "
2.03," Passivos Financeiros ao Custo Amortizado "," 35916545 "," 28413265 "," 24180818 "
2.03.01," Depósitos de Clientes "," 20499655 "," 12761681 "," 11394051 "
2.03.02," Depósitos de Instituições Financeiras "," 4633082 "," 10054757 "," 8661733 "
2.03.03," Recursos de Emissão de Títulos "," 9380408 "," 5346049 "," 1868324 "
2.03.04," Obrigações por Empréstimos "," 812045 "," 0 "," 0 "
2.03.05," Dívidas subordinadas "," 9329 "," 8784 "," 1884941 "
2.03.06," Outros passivos financeiros "," 582026 "," 241994 "," 371769 "
2.04," Provisões "," 419363 "," 513622 "," 591125 "
2.05," Passivos Fiscais "," 702170 "," 626822 "," 537524 "
2.05.01," Correntes "," 451271 "," 451148 "," 343059 "
2.05.02," Diferido "," 250899 "," 175674 "," 194465 "
2.06," Outros Passivos "," 5073125 "," 3703133 "," 2557765 "
2.07," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.07.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.08," Patrimônio Líquido "," 5973850 "," 5540342 "," 5178638 "
2.08.01," Capital Social Realizado "," 4175222 "," 4175222 "," 4175222 "
2.08.01.01," De Domiciliado no País "," 3699805 "," 3606057 "," 3261355 "
2.08.01.02," De Domiciliados no Exterior "," 475417 "," 569165 "," 392055 "
2.08.01.03," Aumento de Capital "," 0 "," 0 "," 521812 "
2.08.02," Reservas de Capital "," 207322 "," 207322 "," 207322 "
2.08.02.01," Ágio na Emissão de Ações "," "," "," "
2.08.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.08.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.08.02.04," Opções Outorgadas "," "," "," "
2.08.02.05," Ações em Tesouraria "," "," "," "
2.08.03," Reservas de Reavaliação "," "," "," "
2.08.04," Reservas de Lucros "," 1603926 "," 1173158 "," 800676 "
2.08.04.01," Reserva Legal "," "," "," "
2.08.04.02," Reserva Estatutária "," "," "," "
2.08.04.03," Reserva para Contingências "," "," "," "
2.08.04.04," Reserva de Lucros a Realizar "," "," "," "
2.08.04.05," Reserva de Retenção de Lucros "," "," "," "
2.08.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.08.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.08.04.08," Dividendo Adicional Proposto "," "," "," "
2.08.04.09," Ações em Tesouraria "," "," "," "
2.08.05," Lucros/Prejuízos Acumulados "," "," "," "
2.08.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.08.07," Ajustes Acumulados de Conversão "," "," "," "
2.08.08," Outros Resultados Abrangentes "," -12839 "," -15360 "," -4582 "
2.08.09," Participação dos Acionistas Não Controladores "," 219 "," 0 "," 0 "
