Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2231041 "," 1487657 "," 2012059 "
2.01," Passivo Circulante "," 615551 "," 548025 "," 520211 "
2.01.01," Obrigações Sociais e Trabalhistas "," 383 "," 498 "," 1150 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 383 "," 498 "," 1150 "
2.01.02," Fornecedores "," 237165 "," 225089 "," 237303 "
2.01.02.01," Fornecedores Nacionais "," 237165 "," 225089 "," 237303 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 47511 "," 27028 "," 26646 "
2.01.03.01," Obrigações Fiscais Federais "," 28228 "," 14773 "," 14434 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 5675 "," 5552 "," 5359 "
2.01.03.01.02," Outras obrigações fiscais federais "," 19925 "," 7492 "," 7344 "
2.01.03.01.03," Pis/Cofins a Pagar "," 2628 "," 1729 "," 1731 "
2.01.03.02," Obrigações Fiscais Estaduais "," 2167 "," 2151 "," 2175 "
2.01.03.03," Obrigações Fiscais Municipais "," 17116 "," 10104 "," 10037 "
2.01.04," Empréstimos e Financiamentos "," "," "," "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 330492 "," 295410 "," 255112 "
2.01.05.01," Passivos com Partes Relacionadas "," 163381 "," 162477 "," 159670 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 163381 "," 162477 "," 159670 "
2.01.05.02," Outros "," 167111 "," 132933 "," 95442 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de clientes "," 10020 "," 12190 "," 15263 "
2.01.05.02.06," Obrigações com terceiros "," "," "," "
2.01.05.02.07," Provisão para passivo a descoberto "," "," "," "
2.01.05.02.08," Outros "," 7 "," 7 "," 14 "
2.01.05.02.09," Direito de uso do Porto do Açu "," 157084 "," 120736 "," 80165 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 6952419 "," 6398295 "," 6075296 "
2.02.01," Empréstimos e Financiamentos "," 4754958 "," 4500362 "," 4307993 "
2.02.01.01," Empréstimos e Financiamentos "," 1617412 "," 1494033 "," 1383615 "
2.02.01.01.01," Em Moeda Nacional "," 1617412 "," 1494033 "," 1383615 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 3137546 "," 3006329 "," 2924378 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 1593930 "," 1633059 "," 1485576 "
2.02.02.01," Passivos com Partes Relacionadas "," 21545 "," 21545 "," 21545 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," 21545 "," 21545 "," 21545 "
2.02.02.02," Outros "," 1572385 "," 1611514 "," 1464031 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Direito de uso do Porto do Açu "," 243389 "," 415064 "," 397716 "
2.02.02.02.04," Fornecedores "," 1260971 "," 1135134 "," 1010972 "
2.02.02.02.05," Outros Débitos "," 68025 "," 61316 "," 55343 "
2.02.03," Tributos Diferidos "," 304981 "," 0 "," 29415 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 304981 "," 0 "," 29415 "
2.02.04," Provisões "," 298550 "," 264874 "," 252312 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 252143 "," 235334 "," 222772 "
2.02.04.01.01," Provisões Fiscais "," 220490 "," 221857 "," 218021 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 13984 "," 13477 "," 4751 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 17669 "," 0 "," 0 "
2.02.04.02," Outras Provisões "," 46407 "," 29540 "," 29540 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," 46407 "," 29540 "," 29540 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," -5336929 "," -5458663 "," -4583448 "
2.03.01," Capital Social Realizado "," -45793 "," -45793 "," -45793 "
2.03.01.01," Capital social "," 35264 "," 35264 "," 35264 "
2.03.01.02," (-) Custo na emissão de ações "," -81057 "," -81057 "," -81057 "
2.03.02," Reservas de Capital "," "," "," "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," "," "," "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -6982752 "," -7105312 "," -6235077 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," 1701248 "," 1702374 "," 1705678 "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," -9632 "," -9932 "," -8256 "
