Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1521465 "," 2155276 "," 4284088 "
2.01," Passivo Circulante "," 481113 "," 293296 "," 1149491 "
2.01.01," Obrigações Sociais e Trabalhistas "," 58352 "," 43222 "," 49306 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 58352 "," 43222 "," 49306 "
2.01.02," Fornecedores "," 116838 "," 116160 "," 317793 "
2.01.02.01," Fornecedores Nacionais "," 115430 "," 113098 "," 312349 "
2.01.02.02," Fornecedores Estrangeiros "," 1408 "," 3062 "," 5444 "
2.01.03," Obrigações Fiscais "," 45681 "," 25403 "," 41880 "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 202678 "," 83256 "," 652383 "
2.01.04.01," Empréstimos e Financiamentos "," 17 "," 0 "," 237834 "
2.01.04.01.01," Em Moeda Nacional "," 17 "," 0 "," 237834 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 146421 "," 24939 "," 355631 "
2.01.04.03," Financiamento por Arrendamento "," 56240 "," 58317 "," 58918 "
2.01.05," Outras Obrigações "," 36698 "," 10158 "," 57843 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 0 "," 50018 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 36698 "," 10158 "," 7825 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Dividendos a Pagar "," 0 "," 0 "," 29 "
2.01.05.02.05," Contas a pagar com substituição de licenciadas "," "," "," "
2.01.05.02.06," Outras contas a pagar "," 10166 "," 10158 "," 7796 "
2.01.05.02.07," Adiantamentos Diversos "," "," "," "
2.01.05.02.08," Outras Contas a Pagar Foose Cool "," "," "," "
2.01.05.02.09," Outras Contas a Pagar com Derivativos "," "," "," "
2.01.05.02.10," Financiamento de impostos e incentivos Fiscais "," "," "," "
2.01.05.02.11," Cessão de recebíveis com direito de regresso "," 26532 "," 0 "," 0 "
2.01.06," Provisões "," 20866 "," 15097 "," 30286 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 20866 "," 15097 "," 30286 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões diversas "," 20866 "," 15097 "," 30286 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1568076 "," 1585152 "," 852283 "
2.02.01," Empréstimos e Financiamentos "," 1528106 "," 1553686 "," 829432 "
