Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 25719932 "," 22576510 "," 19369732 "
2.01," Passivo Circulante "," 2447555 "," 2290153 "," 2085695 "
2.01.01," Obrigações Sociais e Trabalhistas "," 44866 "," 57783 "," 39978 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 44866 "," 57783 "," 39978 "
2.01.01.02.01," Salário, Férias e Encargos Sociais "," 44866 "," 57783 "," 39978 "
2.01.02," Fornecedores "," 198387 "," 385127 "," 401370 "
2.01.02.01," Fornecedores Nacionais "," 198387 "," 385127 "," 401370 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 115952 "," 112916 "," 107671 "
2.01.03.01," Obrigações Fiscais Federais "," 110022 "," 101160 "," 107671 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 65553 "," 63642 "," 60633 "
2.01.03.01.02," Outros Tributos a Pagar "," 44469 "," 37518 "," 47038 "
2.01.03.02," Obrigações Fiscais Estaduais "," 3534 "," 6270 "," 0 "
2.01.03.02.01," Imposto sobre Circulação de Mercadorias e Serviços - ICMS "," 3534 "," 6270 "," 0 "
2.01.03.03," Obrigações Fiscais Municipais "," 2396 "," 5486 "," 0 "
2.01.03.03.01," Imposto sobre Serviços - ISS "," 2396 "," 5486 "," 0 "
2.01.04," Empréstimos e Financiamentos "," 960899 "," 831011 "," 873658 "
2.01.04.01," Empréstimos e Financiamentos "," 634414 "," 363798 "," 388062 "
2.01.04.01.01," Em Moeda Nacional "," 335661 "," 147320 "," 256716 "
2.01.04.01.02," Em Moeda Estrangeira "," 298753 "," 216478 "," 131346 "
2.01.04.02," Debêntures "," 316779 "," 459821 "," 479525 "
2.01.04.03," Financiamento por Arrendamento "," 9706 "," 7392 "," 6071 "
2.01.04.03.01," Arrendamento Merncatil "," 9706 "," 7392 "," 6071 "
2.01.05," Outras Obrigações "," 795474 "," 705926 "," 569163 "
